mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,3.03,2659,10,,,A,,,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
606,5,1.07,0.15,,1065.60,1596,10,5.82,0.07,,987,6,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
662,5,0.82,0.13,,940.70,1721,10,6.07,0.07,,1057,5,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
678,5,1.56,0.22,,905.32,1757,10,5.82,0.07,,1076,5,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
737,5,1.49,0.21,,774.87,1887,10,5.97,0.07,,1148,5,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
788,5,1.1,0.17,,661.73,2000,10,6.2,0.07,A,1208,7,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
820,5,0.52,0.09,,591.98,2070,10,6.59,0.08,A,1247,6,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
834,5,9.9,1.4,,562.90,2099,10,5.33,0.07,,1263,5,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
837,5,0.068,0.016,,555.00,2107,10,7.5,0.11,2NU,1265,7,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
862,5,3.6,0.5,,501.06,2161,10,5.82,0.07,A,1297,7,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
894,5,0.057,0.015,,432.10,2230,10,7.68,0.12,2NU,1332,7,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
906,5,2.8,0.4,,406.19,2256,10,6.01,0.07,,1348,5,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
907,5,0.37,0.16,,404.44,2258,10,6.89,0.19,A,1349,7,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
934,5,30,4,,346.383,2316,10,5.03,0.06,A,1380,6,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
956,6,0.09,0.06,,297.83,2364,10,7.6,0.3,1NU,1405,4.9,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
995,6,2.5,0.5,,213.52,2448,10,6.21,0.09,A,1451,5,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
1013,6,0.9,,,174.32,2488,10,6.7,,2NU,1473,6,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
1031,6,10.1,1.7,,136.079,2526,10,5.66,0.08,A,1492,6,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17
1095,6,34,8,,0.0,2662,10,5.23,0.11,A,1564,6,43,60,Tc,,0,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,2663,10,44,59,Ru,1-Mar-2009,D. DE FRENNE,2025-10-17

