mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
429.15,0.13,0.89,0.267,,1017.5,1139,28,5.47,0.11,A,730,16,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
441.2,0.13,0.623,0.2225,,989.4,1168,28,5.95,,,745,17,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
476.14,0.13,0.623,0.2225,,908.5,1248,28,5.95,,,793,17,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
532.79,0.13,0.3471,0.089,,778.9,1378,28,6.19,0.07,,866,16,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
538.91,0.13,0.267,0.10679999999999999,,765.1,1392,28,6.33,0.16,,873,16,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
554.8,0.13,2.67,0.534,,728.8,1428,28,5.43,0.11,A,894,16,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
562.94,0.13,0.2492,0.0801,,710.6,1446,28,6.41,0.08,,903,16,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
593.41,0.13,5.251,1.246,,642.0,1515,28,5.12,0.08,A,942,17,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
605.94,0.13,1.157,0.356,,613.9,1543,28,5.82,0.08,A,958,16,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
702.57,0.14,0.4628,0.1246,,399.1,1758,28,6.43,0.08,,1076,15,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
718.44,0.14,0.801,0.267,,363.9,1793,28,6.29,0.06,,1095,15,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
744.45,0.14,0.89,0.267,,306.9,1850,28,6.22,0.2,,1127,16,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
783.45,0.14,19.58,5.34,,220.8,1936,28,,,,1173,15,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17
804.81,0.14,76.54,18.69,,174.8,1982,28,4.35,0.1,A,1198,16,42,62,Mo,,0,,0+,60,,2,s,60,2,B-,100,,2155,24,43,61,Tc,30-Mar-2007,JEAN BLACHOT,2025-10-17

