mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1054,70,7.2,0,,783.16,2557,30,6.1,,,1513,16,46,67,Pd,,0,,(5/2+),93,,5,s,93,5,B-,100,,3436,18,47,66,Ag,1-May-2009,Jean Blachot,2025-10-17
1054,70,0.46,0,,781.79,2558,30,7.3,,1NU,1514,16,46,67,Pd,,0,,(5/2+),93,,5,s,93,5,B-,100,,3436,18,47,66,Ag,1-May-2009,Jean Blachot,2025-10-17
1105,70,0.36,0,,673.35,2667,30,7.5,,,1571,16,46,67,Pd,,0,,(5/2+),93,,5,s,93,5,B-,100,,3436,18,47,66,Ag,1-May-2009,Jean Blachot,2025-10-17
1136,71,0.41,0,,607.06,2733,30,7.5,,,1607,17,46,67,Pd,,0,,(5/2+),93,,5,s,93,5,B-,100,,3436,18,47,66,Ag,1-May-2009,Jean Blachot,2025-10-17
1197,71,0.59,0,0.0000000005,476.70,2863,30,7.4,,A,1677,16,46,67,Pd,,0,,(5/2+),93,,5,s,93,5,B-,100,,3436,18,47,66,Ag,1-May-2009,Jean Blachot,2025-10-17
1247,71,0.9,0,0.0000000008,369.80,2970,30,7.3,,A,1733,16,46,67,Pd,,0,,(5/2+),93,,5,s,93,5,B-,100,,3436,18,47,66,Ag,1-May-2009,Jean Blachot,2025-10-17
1248,71,0.84,0,,366.84,2973,30,7.3,,1NU,1735,16,46,67,Pd,,0,,(5/2+),93,,5,s,93,5,B-,100,,3436,18,47,66,Ag,1-May-2009,Jean Blachot,2025-10-17
1316,71,1.14,0,0.000000023,222.08,3118,30,7.3,,A,1811,16,46,67,Pd,,0,,(5/2+),93,,5,s,93,5,B-,100,,3436,18,47,66,Ag,1-May-2009,Jean Blachot,2025-10-17
1355,71,1.89,0,,139.30,3201,30,7.1,,2NU,1866,18,46,67,Pd,,0,,(5/2+),93,,5,s,93,5,B-,100,,3436,18,47,66,Ag,1-May-2009,Jean Blachot,2025-10-17
1400,71,86,0,68.7,43.53,3296,30,5.5,,A,1905,16,46,67,Pd,,0,,(5/2+),93,,5,s,93,5,B-,100,,3436,18,47,66,Ag,1-May-2009,Jean Blachot,2025-10-17

