mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1636,24,0.3,0.1,,2675.3,3805,50,6.2,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
1660,24,1.7,0.2,,2623.6,3856,50,5.5,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
1707,24,4.4,0.5,,2525.6,3954,50,5.1,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
1816,24,2.4,0,,2297.4,4183,50,5.5,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
1820,28,13.9,0,,2417.6,4182,418,4.4,,A,,,44,69,Ru,X,0,,(7/2-),510,,30,ms,0.51,0.03,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
1820,24,5.1,0.5,,2287.4,4193,50,5.1,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
1844,28,13.5,0,,2367.9,4232,423,4.5,,A,,,44,69,Ru,X,0,,(7/2-),510,,30,ms,0.51,0.03,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
1852,24,7.6,0,,2221.4,4259,50,5,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
1866,24,14.9,0,,2191.2,4289,50,4.7,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
1899,24,7.6,0,,2121.9,4358,50,5,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
1973,24,1.3,0,,1966.0,4514,50,5.9,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
1983,24,1.7,0,,1945.0,4535,50,5.8,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
1991,28,3.6,0,,2058.4,4542,454,5.2,,A,2364,26,44,69,Ru,X,0,,(7/2-),510,,30,ms,0.51,0.03,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
2001,24,2.6,0,,1908.9,4571,50,5.6,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
2094,28,6.5,0,,1843.4,4757,476,5,,,2666,27,44,69,Ru,X,0,,(7/2-),510,,30,ms,0.51,0.03,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
2095,24,1.6,,,1711.6,4768,50,5.9,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
2203,24,1.1,0,,1485.2,4995,50,6.1,,,,,44,69,Ru,,0,,(1/2+),0.80,,5,s,0.8,0.05,B-,100,,6900,40,45,68,Rh,1-May-2009,Jean Blachot,2025-10-17
