mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
53,9,0.05,0,,2906.3,194,30,5.4,,,141,21,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
126,11,0.1,0,,2680.35,420,30,6.2,,,294,20,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
133,11,0.1,0,,2659.4,441,30,6.2,,,308,20,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
166,11,0.15,0,,2569.1,531,30,6.3,,,366,19,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
181,12,0.1,0,,2526.9,573,30,6.6,,,393,19,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
193,12,0.15,0,,2494.1,606,30,6.5,,,414,19,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
196,12,0.5,0,,2486.56,613,30,6,,,418,19,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
235,12,0.7,0,,2383.46,717,30,6.1,,A,483,19,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
262,12,2.3,0,,2314.45,786,30,5.8,,A,525,18,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
314,13,0.3,0,,2183.9,916,30,6.9,,,602,18,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
326,13,7.4,0.4,,2156.00,944,30,5.54,0.06,A,620,18,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
343,13,3.2,0.2,,2113.29,987,30,5.97,0.06,,645,18,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
358,13,0.1,0,,2077.6,1022,30,7.5,,,665,18,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
501,13,0.1,0,,1742.0,1358,30,8,,,858,18,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
670,14,0.2,0,,1358.3,1742,30,8.1,,,1073,17,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
688,14,0.2,0,,1317.20,1783,30,8.2,,,1096,16,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
730,14,0.2,0,,1224.6,1875,30,8.2,,,1147,17,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
775,14,0.2,0,,1126.2,1974,30,8.3,,,1201,16,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
790,14,4.5,0.5,,1091.99,2008,30,7.02,0.06,A,1219,17,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
849,14,0.3,0,,962.68,2137,30,8.3,,1NU,1288,17,47,68,Ag,,0,,1/2-,20.0,,5,m,1200,30,B-,100,,3102,18,48,67,Cd,1-Sep-2012,JEAN BLACHOT,2025-10-17
