mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
87.5,1.3,0.24,0.03,,3096.882,308,4,5.81,0.06,A,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17
104.1,1.4,2.82,0.04,,3046.126,359,4,4.956,0.018,A,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17
148,3,0.0159963,0.000001,,2790.5,487,4,5.98,,,338.3,2.6,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17
190.4,1.5,10.3,0.1,,2801.206,604,4,5.164,0.011,A,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17
199,3,0.0119972,0.0000007,,2649.8,628,4,5.79,,A,428.7,2.5,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17
239,3,0.0329924,0.000002,,2546.0,732,4,5.99,,A,492.6,2.5,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17
295.6,1.6,32.5,0.3,0.0000000001,2529.205,876,4,5.241,0.009,A,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17
351.8,1.7,54.2,0.6,,2390.921,1014,4,5.253,0.008,A,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17
367,4,0.0189956,0.0000011,,2225.5,1052,4,6.4,,A,684.6,3,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17
414,4,0.034992,0.0000021,,2112.1,1166,4,6.31,,A,750.4,3.2,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17
568,4,0.25994,0.000016,,1756.8,1521,4,5.88,,A,952.9,3.3,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17
775,4,0.8,0.1,,1293.4,1985,4,5.85,0.06,A,1209.1,2.1,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17
1373,4,98.677,0.006,,0.0,3290,60,4.662,0.005,A,1902.3,2.8,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2025-10-17

