mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2919,72,4.3,0.5,,2868.95,6501,150,5.87,0.08,,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
2946,72,0.6,0.1,,2812.5,6557,150,6.75,0.1,,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
2991,72,2.6,0.3,,2718.01,6652,150,6.14,0.08,,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3021,72,0.7,0.1,,2654.3,6716,150,6.73,0.09,A,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3039,72,1.2,0.1,,2617.2,6753,150,6.5,0.07,,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3045,72,4.2,0.5,,2603.25,6767,150,5.96,0.08,,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3099,72,1.1,0.1,,2491.6,6878,150,6.58,0.07,1NU,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3119,72,26.8,2.5,,2448.52,6921,150,5.2,0.07,A,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3125,72,10.9,1.1,,2435.44,6935,150,5.6,0.08,A,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3127,72,1.7,0.5,,2432.72,6937,150,6.4,0.14,,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3169,72,1,0.1,,2343.4,7027,150,6.66,0.08,1U,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3174,72,1.9,0.5,,2333.1,7037,150,6.38,0.13,,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3183,72,4.5,0.7,,2315.56,7054,150,6.01,0.09,,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3202,72,8.6,0.9,,2275.64,7094,150,5.74,0.08,A,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3226,72,0.9,0.4,,2074.0,7146,150,6.81,0.21,A,3910,80,45,71,Rh,,0,,1+,0.68,,6,s,0.68,0.06,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3259,72,2.4,1,,2005.6,7214,150,6.41,0.19,,3940,80,45,71,Rh,,0,,1+,0.68,,6,s,0.68,0.06,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3285,72,1.1,0.3,,2101.0,7269,150,6.68,0.13,1NU,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3341,72,6.5,1.8,,1982.39,7388,150,5.94,0.14,A,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3389,72,3.2,1.3,,1732.8,7487,150,6.36,0.19,A,4090,80,45,71,Rh,,0,,1+,0.68,,6,s,0.68,0.06,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3424,72,0.9,2.1,,1809.88,7560,150,6.8,1.1,2NU,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3467,72,3.6,1,,1718.21,7652,150,6.27,0.14,1NU,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3478,72,4.8,0.8,,1694.87,7675,150,6.15,0.09,,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3543,72,0.4,1.4,,1558.98,7811,150,7.3,1.6,1NU,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3632,72,3.9,1,,1373.01,7997,150,6.32,0.13,1U,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3686,72,3.5,1.5,,1109.69,8110,150,6.47,0.2,A,4410,80,45,71,Rh,,0,,1+,0.68,,6,s,0.68,0.06,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3863,72,22,9,,737.84,8482,150,5.76,0.19,A,4600,80,45,71,Rh,,0,,1+,0.68,,6,s,0.68,0.06,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
3867,72,7,4,,877.58,8492,150,6.2,0.3,1U,,,45,71,Rh,,150,,(6-),0.57,,5,s,0.57,0.05,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
4052,72,23,9,,340.19,8880,150,5.84,0.18,A,4810,80,45,71,Rh,,0,,1+,0.68,,6,s,0.68,0.06,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17
4213,72,45,22,,0.0,9220,150,5.62,0.22,A,4990,80,45,71,Rh,,0,,1+,0.68,,6,s,0.68,0.06,B-,100,,9100,70,46,70,Pd,1-Dec-2009,Jean Blachot,2025-10-17

