mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
324,33,1.7,0.6,,2859.29,871,40,5.32,0.21,,576,24,48,71,Cd,,0,,1/2+,2.69,,2,m,161.4,1.2,B-,100,,3720,40,49,70,In,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
349,34,1.1,0.2,,2798.4,932,40,5.61,0.16,,613,25,48,71,Cd,,0,,1/2+,2.69,,2,m,161.4,1.2,B-,100,,3720,40,49,70,In,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
403,34,5,3,,2667.57,1062,40,5.1,0.3,,689,23,48,71,Cd,,0,,1/2+,2.69,,2,m,161.4,1.2,B-,100,,3720,40,49,70,In,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
447,35,0.95,0.19,,2564.6,1165,40,6.01,0.14,,749,23,48,71,Cd,,0,,1/2+,2.69,,2,m,161.4,1.2,B-,100,,3720,40,49,70,In,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
451,35,1.62,0.22,,2554.16,1176,40,5.79,0.13,,756,23,48,71,Cd,,0,,1/2+,2.69,,2,m,161.4,1.2,B-,100,,3720,40,49,70,In,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
464,35,2.1,0.6,,2672.17,1204,40,5.63,0.17,,772,23,48,71,Cd,,146.54,0.11,(11/2-),2.20,,2,m,132,1.2,B-,100,,3720,40,49,70,In,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
464,35,2,0.3,,2524.43,1206,40,5.74,0.13,,772,23,48,71,Cd,,0,,1/2+,2.69,,2,m,161.4,1.2,B-,100,,3720,40,49,70,In,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
510,35,2.2,0.6,,2564.62,1312,40,5.75,0.16,,834,23,48,71,Cd,,146.54,0.11,(11/2-),2.20,,2,m,132,1.2,B-,100,,3720,40,49,70,In,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
527,35,0.76,0.18,,2526.5,1350,40,6.25,0.15,,854,23,48,71,Cd,,146.54,0.11,(11/2-),2.20,,2,m,132,1.2,B-,100,,3720,40,49,70,In,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
529,35,0.95,0.22,,2520.3,1356,40,6.16,0.14,,859,23,48,71,Cd,,146.54,0.11,(11/2-),2.20,,2,m,132,1.2,B-,100,,3720,40,49,70,In,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
