mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1015,67,0.55,0.06,3.041584767142571e-22,18.19E3,2361,140,2.45,0.13,,1350,70,3,8,Li,,0,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,20551.1,7,4,7,Be,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-17
1928,49,0.048,0.007,6.5176816438769385e-22,16.3E3,4251,100,4.65,0.08,,2320,50,3,8,Li,,0,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,20551.1,7,4,7,Be,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-17
4749,25,7.8,1.8,2.17256054795898e-21,10590,9961,50,4.17,0.11,A,5213,25,3,8,Li,,0,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,20551.1,7,4,7,Be,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-17
5632,13,8.9,1.4,2.2811885753569284e-21,8813,11738,25,4.45,0.07,A,6107,13,3,8,Li,,0,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,20551.1,7,4,7,Be,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-17
6026,10,15.5,3.1,1.9836422394408077e-21,8020,12531,20,4.34,0.09,A,6506,10,3,8,Li,,0,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,20551.1,7,4,7,Be,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-17
6518,25,0.86,0.17,1.5207923835712856e-21,7030,13521,50,5.76,0.09,A,7002,25,3,8,Li,,0,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,20551.1,7,4,7,Be,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-17
7401,1.6,2.4,0.5,1.0138615890475239e-20,5255,15295,3,5.57,0.09,A,7894.2,1.6,3,8,Li,,0,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,20551.1,7,4,7,Be,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-17
8047.27,,6.8,2.4,4.5623771507138576e-20,3955,16595.4,1.5,5.29,0.16,A,8546.6,0.8,3,8,Li,,0,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,20551.1,7,4,7,Be,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-17
8080.08,,22.7,4.5,5.702971438392322e-20,3889,16661.4,1.5,4.78,0.09,A,8579.9,0.8,3,8,Li,,0,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,20551.1,7,4,7,Be,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-17
8323.2,3.1,0.9,0.2,3.739653402224474e-21,3400,17150,6,6.24,0.1,A,8825.2,3,3,8,Li,,0,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,20551.1,7,4,7,Be,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-17
8694,5,17,4,,2654,17896,10,5.05,0.11,A,9199,5,3,8,Li,,0,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,20551.1,7,4,7,Be,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-17
9853.78,,7.7,0.8,0.000000000000115,320.04,20230.2,1.1,5.66,0.05,A,10370.4,0.6,3,8,Li,,0,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,20551.1,7,4,7,Be,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-17

