mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
18.29,0.65,0.00098,0.00021,,1337.42,70.8,2.4,9.8,0.1,,48.1,1.6,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-2021,Jun Chen,2025-10-17
39.5,0.7,0.00014,0.00006,,1260.9,147.3,2.4,11.6,0.2,1NU,108.3,1.7,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-2021,Jun Chen,2025-10-17
63.08,0.74,0.0022,0.0005,,1181.28,226.9,2.4,11,0.1,,138.8,1.5,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-2021,Jun Chen,2025-10-17
92.27,0.78,0.6,0.12,0.00000000000052,1088.65,319.5,2.4,9,0.1,1NU,227.6,1.8,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-2021,Jun Chen,2025-10-17
111.56,0.81,0.031,0.007,0.00000000000019,1030.23,378,2.4,10.6,0.1,1NU,267.1,1.8,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-2021,Jun Chen,2025-10-17
235.5,0.94,0.011,0.003,,712.56,720.2,2.4,8.3,0.1,A,,,50,73,Sn,,24.6,0.4,3/2+,40.06,,2,m,2403.6,1.2,B-,100,,1408.2,24,51,72,Sb,15-Apr-2021,Jun Chen,2025-10-17
302.57,0.98,0.055,0.005,0.0000000000053,542.06,890.7,2.4,7.93,0.04,A,,,50,73,Sn,,24.6,0.4,3/2+,40.06,,2,m,2403.6,1.2,B-,100,,1408.2,24,51,72,Sb,15-Apr-2021,Jun Chen,2025-10-17
461.1,1.1,99.9,0.3,0.00000000061,160.33,1272.5,2.4,5.248,0.004,A,,,50,73,Sn,,24.6,0.4,3/2+,40.06,,2,m,2403.6,1.2,B-,100,,1408.2,24,51,72,Sb,15-Apr-2021,Jun Chen,2025-10-17
527.8,1,99.37,0.13,,0.0,1408.2,2.4,9.88,0.01,1U,883.9,3.1,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-2021,Jun Chen,2025-10-17

