mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
55.8,1.6,0.07,0.04,,1377.9,203,5,7.8,0.3,A,147.8,3.6,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17
82.9,1.6,0.77,0.22,,1290.3,291,5,7.28,0.13,A,208.3,3.7,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17
127.6,1.8,0.9,0.3,,1155.4,426,5,7.76,0.15,A,298.9,3.3,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17
132.6,1.8,1.55,0.2,,1140.9,440,5,7.57,0.06,A,308.1,3.3,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17
155,1.8,5.4,0.4,,1077.0,504,5,7.23,0.04,,349.6,3.2,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17
210.9,1.9,1.3,0.3,,924.3,657,5,8.24,0.11,A,447,3.1,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17
264.2,2,4.5,0.3,,785.2,796,5,8,0.04,1NU,532.5,3.5,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17
265.1,2,18,1.1,,783.4,798,5,7.4,0.03,A,533.7,3,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17
303.9,2.1,35.8,2,,685.5,890,5,7.28,0.03,A,592.8,3.5,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17
325.7,2.1,4.6,0.6,,631.0,950,5,8.27,0.06,1NU,625.5,3,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17
390.8,2.1,23.4,1.6,,473.24,1104,5,7.81,0.04,A,717.5,3.8,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17
446.6,2.2,1.7,0.5,0.00000000041,340.1,1244,5,9.13,0.13,1NU,795.7,2.9,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17
561.9,2.1,2,0.5,9167040,87.7,1493,5,10.21,0.11,1U,932.8,4.3,51,76,Sb,,0,,7/2+,3.85,,5,d,332640,4320,B-,100,,1582,5,52,75,Te,1-Oct-2009,A. HASHIZUME,2025-10-17

