mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
40,1.8,0.013,0.003,,2477.87,149,6,7.03,0.12,,109.5,4.4,53,82,I,,0,,7/2+,6.58,,3,h,23688,108,B-,100,,2634,4,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-10-17
40.8,1.8,0.142,0.014,,2475.08,152,6,6.01,0.07,,111.6,4.3,53,82,I,,0,,7/2+,6.58,,3,h,23688,108,B-,100,,2634,4,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-10-17
43.4,1.8,0.127,0.014,,2466.11,161,6,6.14,0.07,A,118,4.3,53,82,I,,0,,7/2+,6.58,,3,h,23688,108,B-,100,,2634,4,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-10-17
48.8,1.8,0.14,0.03,,2447.30,180,6,6.25,0.11,,131.6,4.2,53,82,I,,0,,7/2+,6.58,,3,h,23688,108,B-,100,,2634,4,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-10-17
60.3,1.9,1.03,0.06,,2408.66,218,6,5.65,0.05,,158.1,4.4,53,82,I,,0,,7/2+,6.58,,3,h,23688,108,B-,100,,2634,4,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-10-17
71.6,1.9,0.92,0.04,,2371.99,255,6,5.91,0.04,,184,4.5,53,82,I,,0,,7/2+,6.58,,3,h,23688,108,B-,100,,2634,4,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-10-17
76.2,1.9,1.39,0.07,,2357.24,270,6,5.81,0.04,A,194.4,4.4,53,82,I,,0,,7/2+,6.58,,3,h,23688,108,B-,100,,2634,4,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-10-17
109,2,4.78,0.16,,2255.478,372,6,5.73,0.03,A,263.5,4,53,82,I,,0,,7/2+,6.58,,3,h,23688,108,B-,100,,2634,4,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-10-17
116.5,2.1,7.4,0.3,,2233.041,394,6,5.62,0.03,A,278.1,4,53,82,I,,0,,7/2+,6.58,,3,h,23688,108,B-,100,,2634,4,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-10-17
144.5,2.1,0.023,0.003,,2151.52,475,6,8.4,0.06,,331.2,3.9,53,82,I,,0,,7/2+,6.58,,3,h,23688,108,B-,100,,2634,4,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-10-17
