mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
53.8,2.1,0.0003,0.0001,,3976.4,197,7,7.05,0.16,,144,5,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,2.2,0.0009,0.0003,,3955.7,217,7,6.71,0.16,,157.6,4.9,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
61,2.2,0.03,0.004,,3952.41,221,7,5.21,0.08,,160.3,4.9,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
64.5,2.2,0.0002,0.0001,,3940.8,232,7,7.45,0.23,,167.9,4.9,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
65.3,2.2,0.0011,0.0005,,3938.2,235,7,6.73,0.21,,170.1,4.9,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
74.9,2.2,0.0018,0.0006,,3907.16,266,7,6.69,0.15,,192,5,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
101.5,2.3,0.0061,0.0011,,3824.0,349,7,6.54,0.09,,248.2,4.7,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
113.8,2.4,0.011,0.002,,3786.9,386,7,6.43,0.09,,272.9,4.7,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
130.8,2.5,0.001,0.0004,,3736.7,436,7,7.65,0.18,,306,4.6,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
145.5,2.5,0.0062,0.001,,3694.1,479,7,6.99,0.08,,334,4.6,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
184.9,2.6,0.0056,0.001,,3584.1,589,7,7.34,0.08,,404.6,4.4,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
263,2.8,0.027,0.004,,3377.46,796,7,7.12,0.07,,533.8,4.2,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
350,2.9,0.013,0.002,,3159.5,1013,7,7.81,0.07,,665.1,4.6,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
372.6,2.9,0.006,0.001,,3104.2,1069,7,8.24,0.08,,697.6,4.2,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
400.3,3,0.036,0.005,,3037.31,1136,7,7.56,0.07,,736.7,4.1,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
438.9,3,0.01,0.002,,2945.19,1228,7,8.24,0.09,,791,5,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
479.2,3,0.72,0.08,,2850.04,1323,7,6.5,0.05,,845.1,4,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
479.6,3,0.1,0.015,,2849.11,1324,7,7.36,0.07,,846,5,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
502.4,3,0.004,0.001,,2795.9,1377,7,8.83,0.11,,876,4,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
689.7,3.2,0.003,,,2367.84,1805,7,9.4,,,1116.9,4.5,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
757.2,3.2,0.005,0.002,,2216.8,1956,7,9.32,0.18,,1200.2,3.8,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
810,3.2,0.003,,,2099.41,2074,7,9.6,,,1264.4,4.4,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
824.1,3.2,0.14,0.02,,2068.03,2105,7,8.01,0.07,,1289.8,4.7,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
892.9,3.2,0.073,0.02,,1916.27,2257,7,8.41,0.12,,1365.1,4.9,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
914.9,3.2,0.03,,,1867.87,2305,7,8.8,,A,1390,5,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
953.4,3.2,0.38,0.05,,1783.47,2390,7,7.8,0.06,,1436.2,4.8,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
1014,3.3,0.051,0.007,,1651.24,2522,7,8.76,0.06,,1507,5,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
1049,3.3,0.17,0.03,,1574.84,2598,7,8.29,0.08,,1549.8,4,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
1054,3.3,0.066,0.01,,1564.13,2609,7,8.71,0.07,,1556,5,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
1188.1,3.3,0.04,0.03,,1273.20,2900,7,9.1,0.4,,1712.2,4.8,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
1229.1,3.3,0.02,,,1184.71,2988,7,9.5,,1U,1778,6,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
1385.2,3.3,0.65,0.08,,848.90,3324,7,8.16,0.06,,1938.9,4.6,54,83,Xe,,0,,7/2-,3.818,,13,m,229.08,0.78,B-,100,,4162.4,3,55,82,Cs,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
