mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2292,29,1.25,0.21,,1786.91+X,5243,60,5.88,0.08,A,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17
2575,29,8.5,0.5,,1188.00+X,5842,60,5.25,0.04,A,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17
2699,29,30.1,1.4,,925.44+X,6105,60,4.79,0.03,A,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17
2720,29,2.48,0.23,,881.46+X,6149,60,5.89,0.05,,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17
2738,29,2.3,0.5,,842.12+X,6188,60,5.93,0.1,,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17
2834,29,0.69,0.13,,639.31+X,6391,60,6.52,0.09,,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17
2919,29,3.2,0.3,,459.37+X,6571,60,5.9,0.05,,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17
2974,29,13.1,0.8,,342.07+X,6688,60,5.33,0.04,,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17
3024,29,0.9,0.5,,234.94+X,6795,60,6.52,0.25,,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17
3068,29,1.3,0.4,,142.31+X,6888,60,6.39,0.14,,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17
3078,29,6.5,1.6,,120.94+X,6909,60,5.69,0.11,,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17
3084,29,7.1,1.8,,107.47+X,6923,60,5.66,0.12,,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17
3115,29,4.3,2.5,,43.25+X,6987,60,5.9,0.3,,,,52,88,Te,,0,,0+,348,,5,ms,0.348,0.005,B-,100,,7239,19,53,87,I,20-Nov-2018,N. NICA,2025-10-17

