mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,1055.85,3178,10,,,,,,56,87,Ba,,0,,5/2-,14.5,,3,s,14.5,0.3,B-,100,,4234,10,57,86,La,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
,,,,,1215.27,3019,10,,,,,,56,87,Ba,,0,,5/2-,14.5,,3,s,14.5,0.3,B-,100,,4234,10,57,86,La,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
,,,,,1303.00,2931,10,,,,,,56,87,Ba,,0,,5/2-,14.5,,3,s,14.5,0.3,B-,100,,4234,10,57,86,La,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
,,,,,1448.83,2785,10,,,,,,56,87,Ba,,0,,5/2-,14.5,,3,s,14.5,0.3,B-,100,,4234,10,57,86,La,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
,,,,,1110.30,3124,10,,,,,,56,87,Ba,,0,,5/2-,14.5,,3,s,14.5,0.3,B-,100,,4234,10,57,86,La,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
,,,,,1503.26,2731,10,,,,,,56,87,Ba,,0,,5/2-,14.5,,3,s,14.5,0.3,B-,100,,4234,10,57,86,La,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
,,,,,973.08,3261,10,,,,,,56,87,Ba,,0,,5/2-,14.5,,3,s,14.5,0.3,B-,100,,4234,10,57,86,La,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
,,,,,2194.5,2039,10,,,,,,56,87,Ba,,0,,5/2-,14.5,,3,s,14.5,0.3,B-,100,,4234,10,57,86,La,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
,,,,,1225.38,3009,10,,,,,,56,87,Ba,,0,,5/2-,14.5,,3,s,14.5,0.3,B-,100,,4234,10,57,86,La,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
,,,,,1365.40,2869,10,,,,,,56,87,Ba,,0,,5/2-,14.5,,3,s,14.5,0.3,B-,100,,4234,10,57,86,La,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
