mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2875,24,2.3,0.4,,1353.52,6511,50,6.3,0.08,,3626,27,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
2901,24,0.4,0.1,,1299.68,6565,50,7.08,0.11,,3658,26,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
2928,24,1.6,0.2,,1240.52,6624,50,6.49,0.06,,3685,26,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
2968,24,4.6,0.6,,1155.14,6710,50,6.06,0.06,,3732,26,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
2977,24,4.2,0.6,,1137.63,6727,50,6.1,0.07,,3742,27,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
2986,24,0.12,0.02,,1116.75,6748,50,7.65,0.08,,3753,26,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3018,24,1.4,0.3,,1050.29,6815,50,6.61,0.1,,3784,27,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3101,24,1.1,0.2,,872.37,6993,50,6.76,0.08,,3879,27,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3111,24,0.6,0.1,,851.44,7014,50,7.03,0.08,,3890,26,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3118,24,2.1,0.3,,836.20,7029,50,6.49,0.07,,3900,27,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3126,24,2.2,0.3,,819.78,7045,50,6.47,0.07,,3911,26,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3137,24,3.3,0.5,,795.90,7069,50,6.3,0.07,,3921,27,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3142,24,2.1,0.4,,785.25,7080,50,6.5,0.09,,3927,27,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3157,24,5.2,0.8,,753.36,7170,170,6.12,0.07,,3941,27,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3170,24,3.1,0.8,,724.40,7210,170,6.35,0.12,1NU,3959,26,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3194,24,2,0.3,,672.53,7192,50,6.55,0.07,,3985,26,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3199,24,2.6,0.4,,663.30,7202,50,6.44,0.07,,3990,26,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3216,24,1.1,0.2,,627.10,7238,50,6.83,0.08,,4011,27,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
3223,24,3.1,0.5,,611.07,7254,50,6.38,0.08,1NU,4017,26,55,90,Cs,,0,,3/2+,0.587,,5,s,0.587,0.005,B-,100,,7462,12,56,89,Ba,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-10-17
