mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,137.4,0.0,2137,13,,,1NU,,,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
,,,,,105.161,2032,13,,,,,,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
,,,,,273.744,1863,13,,,,,,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
,,,,,332.75,1804,13,,,,,,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
,,,,,98.967,2038,13,,,,,,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
,,,,,98.166,2039,13,,,,,,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
,,,,,121.169,2016,13,,,,,,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
496.4,5.6,2.1,0.3,,765.45,1372,13,5.57,0.07,A,877,8,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
556,5.7,0.7,0.16,,626.36,1511,13,6.2,0.1,,956,8,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
601.7,5.7,16.3,0.9,,520.83,1616,13,4.95,0.03,A,1014,8,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
624.9,5.7,3.3,0.3,,467.77,1669,13,5.7,0.05,,1045,8,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
658.7,5.8,59,4,,390.684,1746,13,4.52,0.04,A,1087,8,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
675.4,5.8,2.1,0.3,,352.70,1784,13,6.01,0.07,,1110,7,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
703.2,5.8,0.1,1.6,,289.656,1847,13,7,7,,1145,8,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
704.3,5.8,0.1,0.7,,287.20,1850,13,7,3,,1147,7,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17
744.8,5.8,5.8,1.7,,195.993,1941,13,5.71,0.13,A,1196,8,58,90,Ce,,0,,0+,56.8,,3,s,56.8,0.3,B-,100,,2137,13,59,89,Pr,1-Oct-2013,N. NICA,2025-10-17

