mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2224,11,4.2,0,,2550.36,5140,22,5.95,,,2912,13,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
2363,11,7.45,0,,2252.23,5438,22,5.8,,,3070,12,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
2391,11,0.67,0,,2192.37,5498,22,6.87,,,3100,13,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
2409,11,4,0,,2153.67,5536,22,6.11,,,3121,12,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
2413,11,2.56,0,,2144.48,5545,22,6.3,,,3127,12,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
2515,11,0.89,0,,1927.69,5762,22,6.84,,,3240,13,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
2532,11,2.95,0,,1891.20,5799,22,6.33,,,3259,13,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
2608,11,1.22,0,,1728.39,5962,22,6.76,,,3346,12,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
2656,11,0.33,0,,1625.98,6064,22,7.36,,,3399,13,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
2657,11,0.89,0,,1622.78,6067,22,6.93,,,3401,13,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
2673,11,4.3,0,,1589.91,6100,22,6.26,,,3420,12,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
2675,11,0.89,0,,1584.00,6106,22,6.95,,,3422,13,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
2687,11,0.33,0,,1558.51,6131,22,7.38,,,3436,13,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-10-17
