mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
36.7,1.2,0.053,0.01,,2304.01,138,4,4.96,0.1,,101.6,2.9,60,91,Nd,,0,,3/2+,12.44,,7,m,746.4,4.2,B-,100,,2443,4,61,90,Pm,20-Nov-2008,BALRAJ SINGH,2025-10-17
46.8,1.2,0.011,0.005,,2268.59,173,4,5.95,0.2,A,127,2.8,60,91,Nd,,0,,3/2+,12.44,,7,m,746.4,4.2,B-,100,,2443,4,61,90,Pm,20-Nov-2008,BALRAJ SINGH,2025-10-17
65.9,1.3,0.036,0.013,,2204.30,238,4,5.87,0.16,,172.1,2.7,60,91,Nd,,0,,3/2+,12.44,,7,m,746.4,4.2,B-,100,,2443,4,61,90,Pm,20-Nov-2008,BALRAJ SINGH,2025-10-17
92.5,1.3,0.067,0.014,,2119.09,323,4,6.03,0.1,,231.1,2.7,60,91,Nd,,0,,3/2+,12.44,,7,m,746.4,4.2,B-,100,,2443,4,61,90,Pm,20-Nov-2008,BALRAJ SINGH,2025-10-17
96.4,1.3,0.033,0.012,,2106.86,335,4,6.39,0.16,,238.9,2.7,60,91,Nd,,0,,3/2+,12.44,,7,m,746.4,4.2,B-,100,,2443,4,61,90,Pm,20-Nov-2008,BALRAJ SINGH,2025-10-17
103.5,1.3,0.051,0.006,,2084.92,357,4,6.29,0.06,,253.7,2.7,60,91,Nd,,0,,3/2+,12.44,,7,m,746.4,4.2,B-,100,,2443,4,61,90,Pm,20-Nov-2008,BALRAJ SINGH,2025-10-17
114,1.4,0.016,0.005,,2053.10,389,4,6.91,0.14,A,275.5,2.7,60,91,Nd,,0,,3/2+,12.44,,7,m,746.4,4.2,B-,100,,2443,4,61,90,Pm,20-Nov-2008,BALRAJ SINGH,2025-10-17
119,1.4,0.07,0.009,,2038.05,404,4,6.33,0.06,,285.6,2.7,60,91,Nd,,0,,3/2+,12.44,,7,m,746.4,4.2,B-,100,,2443,4,61,90,Pm,20-Nov-2008,BALRAJ SINGH,2025-10-17
123.7,1.4,0.104,0.015,,2024.01,418,4,6.2,0.07,,294.9,2.7,60,91,Nd,,0,,3/2+,12.44,,7,m,746.4,4.2,B-,100,,2443,4,61,90,Pm,20-Nov-2008,BALRAJ SINGH,2025-10-17
124,1.4,0.113,0.022,,2023.15,419,4,6.17,0.09,A,295.4,2.7,60,91,Nd,,0,,3/2+,12.44,,7,m,746.4,4.2,B-,100,,2443,4,61,90,Pm,20-Nov-2008,BALRAJ SINGH,2025-10-17
