mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
46,3,0.013,0.004,,1016.5,170,5,8,0.2,,125.3,3.6,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
62,3,0.18,0.03,,964.24,223,5,7.2,0.1,A,162.1,3.8,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
65,3,1,0.13,,953.49,234,5,6.56,0.09,A,169.8,4,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
73,3,0.039,0.007,,926.0,261,5,8.1,0.1,,188.7,3.6,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
85,4,0.011,0.003,,889.3,298,5,8.9,0.2,,200.6,3.8,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
85,4,0.35,0.06,,887.32,300,5,7.37,0.09,,215.5,3.4,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
88,4,2.4,0.3,,877.63,309,5,6.57,0.08,A,221.6,3.4,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
97,4,0.02,,,851.6,335,5,8.8,,,239.3,3.4,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
106,4,6.1,0.8,0.0000000001,822.63,364,5,6.4,0.07,,258.9,3.4,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
121,4,0.014,0.006,,777.4,410,5,9.2,0.2,A,289.7,3.3,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
122,4,1.14,0.15,,773.98,413,5,7.31,0.07,A,291.7,3.3,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
133,4,3.1,0.4,0.0000000001,741.03,446,5,6.98,0.07,A,313.5,3.3,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
160,4,0.053,0.01,,663.1,524,5,9,0.1,A,364.5,3.3,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
160,4,0.22,0.03,,663.54,523,5,8.4,0.1,,363.9,3.3,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
175,4,0.12,0.02,,620.43,567,5,8.75,0.08,,392.2,3.2,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
212,4,0.77,0.1,,521.10,666,5,8.18,0.06,A,455.7,3.1,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
223,4,0.47,0.06,,490.32,697,5,8.46,0.06,1NU,475.2,3.2,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
231,4,0.05,0.02,,470.35,717,5,9.5,0.2,,487.7,3.2,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
239,4,0.1,,,448.5,738,5,9.2,,1NU,500.9,3.6,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
240,4,7.1,0.8,0.00000000002,445.68,741,5,7.38,0.06,A,502.7,3.1,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
251,4,0.17,0.04,,415.61,771,5,9.1,0.1,,520.7,3.6,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
259,4,1.9,0.3,,395.581,791,5,8.05,0.08,A,533.1,3.6,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
274,4,0.02,,,355.5,831,5,10.1,,2NU,549.2,3.7,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
278,4,42,5,0.0000000000093,344.909,842,5,6.8,0.06,A,564.8,3,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
287,4,3.3,0.4,,323.941,863,5,7.94,0.06,A,577.2,3.5,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
290,4,0.05,,,315.26,872,5,9.8,,1NU,583.2,3.5,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
291,4,0.02,,,313.78,873,5,10.2,,,575,3.2,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
293,4,1.7,0.3,,306.79,880,5,8.26,0.08,A,588,3.5,61,90,Pm,,0,,5/2+,28.40,,4,h,102240,144,B-,100,,1190,4,62,89,Sm,20-Nov-2008,BALRAJ SINGH,2025-10-17
