mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1335,14,0.23,0.08,,3146.6,3243,30,6.84,0.16,,1908,18,59,93,Pr,,0,,(4+),3.57,,18,s,3.57,0.18,B-,100,,6390,30,60,92,Nd,31-Aug-2013,M. J. MARTIN,2025-10-17
1355,14,0.15,0.08,,3103.6,3286,30,7.05,0.24,,1931,17,59,93,Pr,,0,,(4+),3.57,,18,s,3.57,0.18,B-,100,,6390,30,60,92,Nd,31-Aug-2013,M. J. MARTIN,2025-10-17
1409,14,0.73,0.08,,2986.1,3404,30,6.42,0.06,,1993,17,59,93,Pr,,0,,(4+),3.57,,18,s,3.57,0.18,B-,100,,6390,30,60,92,Nd,31-Aug-2013,M. J. MARTIN,2025-10-17
1531,14,0.5,0.08,,2722.6,3667,30,6.72,0.08,,2134,17,59,93,Pr,,0,,(4+),3.57,,18,s,3.57,0.18,B-,100,,6390,30,60,92,Nd,31-Aug-2013,M. J. MARTIN,2025-10-17
1537,14,0.7,0.2,,2709.0,3681,30,6.58,0.13,,2143,16,59,93,Pr,,0,,(4+),3.57,,18,s,3.57,0.18,B-,100,,6390,30,60,92,Nd,31-Aug-2013,M. J. MARTIN,2025-10-17
1540,14,0.9,0.1,,2702.4,3688,30,6.48,0.06,,2145,17,59,93,Pr,,0,,(4+),3.57,,18,s,3.57,0.18,B-,100,,6390,30,60,92,Nd,31-Aug-2013,M. J. MARTIN,2025-10-17
1574,14,1,0.1,,2629.9,3760,30,6.47,0.05,,2184,17,59,93,Pr,,0,,(4+),3.57,,18,s,3.57,0.18,B-,100,,6390,30,60,92,Nd,31-Aug-2013,M. J. MARTIN,2025-10-17
1582,14,1.1,0.1,,2612.8,3777,30,6.44,0.05,,2194,16,59,93,Pr,,0,,(4+),3.57,,18,s,3.57,0.18,B-,100,,6390,30,60,92,Nd,31-Aug-2013,M. J. MARTIN,2025-10-17
1596,14,2.7,0.2,,2581.2,3809,30,6.06,0.05,,2210,17,59,93,Pr,,0,,(4+),3.57,,18,s,3.57,0.18,B-,100,,6390,30,60,92,Nd,31-Aug-2013,M. J. MARTIN,2025-10-17
1600,14,3.2,0.2,,2574.0,3816,30,5.99,0.04,,2215,17,59,93,Pr,,0,,(4+),3.57,,18,s,3.57,0.18,B-,100,,6390,30,60,92,Nd,31-Aug-2013,M. J. MARTIN,2025-10-17
