mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
11.12,0.24,0.000044,0.000012,,763.8,43.7,0.9,8.9,0.13,,32.7,0.7,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
12.01,0.19,0.0102,0.0015,,760.40,47.1,0.7,6.63,0.07,,35.2,0.5,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
23.1,0.2,0.00138,0.00011,,718.69,88.8,0.7,8.34,0.04,A,65.9,0.5,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
24.61,0.2,0.0139,0.0005,,713.11,94.4,0.7,7.421,0.019,,70.07,0.49,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
26.38,0.2,0.0234,0.0004,,706.62,100.9,0.7,7.284,0.012,A,74.8,0.5,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
27.8,0.22,0.00705,0.00015,,701.39,106.1,0.7,7.872,0.013,,78.5,0.6,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
29.8,0.2,0.0231,0.0004,,694.18,113.3,0.7,7.445,0.012,A,83.7,0.6,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
33.21,0.2,0.0101,0.0002,,681.90,125.6,0.7,7.942,0.012,1NU,92.73,0.46,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
40.03,0.21,0.0009,0.00007,,657.68,149.8,0.7,9.23,0.04,,110.1,0.5,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
46.11,0.21,0.0649,0.0006,,636.47,171,0.7,7.552,0.007,1NU,125.29,0.49,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
46.61,0.21,0.0477,0.0016,,634.74,172.8,0.7,7.7,0.016,A,126.4,0.6,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
61.26,0.22,0.00227,0.00008,,585.02,222.5,0.7,9.369,0.016,,161.7,0.5,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
164.69,0.25,0.001,,,269.7355,537.8,0.7,11,,2NU,360.3,0.8,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
199.46,0.26,30.4,0.5,,172.85318,634.6,0.7,6.741,0.008,A,435.4,0.8,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
220.96,0.25,0.031,0.012,,151.6239,655.9,0.7,10.02,0.17,1U,437.8,0.9,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
225.22,0.27,49.2,0.9,0.00000000387,103.18018,704.3,0.7,6.689,0.008,A,480.3,0.9,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
227.36,0.27,0.58,0.06,,97.43099,710.1,0.7,8.63,0.05,1NU,482.8,0.7,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17
264.28,0.27,19.5,0.9,,0.0,807.5,0.7,7.3,0.02,A,543.9,1,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2025-10-17

