mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
20.51,0.19,0.0011,0.0004,,891.25,79.2,0.7,7.93,0.16,A,58.9,0.5,64,95,Gd,,0,,3/2-,18.479,,4,h,66524.4,14.4,B-,100,,970.7,7,65,94,Tb,31-Dec-2010,C. W. Reich,2025-10-17
30.4,0.2,0.0162,0.0005,,854.960,115.5,0.7,7.27,0.016,A,85.3,0.5,64,95,Gd,,0,,3/2-,18.479,,4,h,66524.4,14.4,B-,100,,970.7,7,65,94,Tb,31-Dec-2010,C. W. Reich,2025-10-17
83.79,0.22,0.00387,0.0001,,674.235,296.3,0.7,9.179,0.012,1NU,212.6,0.9,64,95,Gd,,0,,3/2-,18.479,,4,h,66524.4,14.4,B-,100,,970.7,7,65,94,Tb,31-Dec-2010,C. W. Reich,2025-10-17
101.81,0.23,0.0301,0.0009,,617.619,352.9,0.7,8.534,0.014,1NU,251.68,0.37,64,95,Gd,,0,,3/2-,18.479,,4,h,66524.4,14.4,B-,100,,970.7,7,65,94,Tb,31-Dec-2010,C. W. Reich,2025-10-17
113.82,0.23,0.0635,0.0009,,580.808,389.7,0.7,8.351,0.007,1NU,276.3,0.7,64,95,Gd,,0,,3/2-,18.479,,4,h,66524.4,14.4,B-,100,,970.7,7,65,94,Tb,31-Dec-2010,C. W. Reich,2025-10-17
188.9,0.3,12.19,0.06,0.000000000158,363.5451,607,0.7,6.714,0.003,A,418.5,0.8,64,95,Gd,,0,,3/2-,18.479,,4,h,66524.4,14.4,B-,100,,970.7,7,65,94,Tb,31-Dec-2010,C. W. Reich,2025-10-17
194.4,0.3,0.315,0.004,,348.2830,622.2,0.7,8.339,0.006,1NU,427.8,0.8,64,95,Gd,,0,,3/2-,18.479,,4,h,66524.4,14.4,B-,100,,970.7,7,65,94,Tb,31-Dec-2010,C. W. Reich,2025-10-17
283.9,0.3,0.008,0.007,0.000000001,137.5054,833,0.7,10.8,0.4,1U,552.9,0.41,64,95,Gd,,0,,3/2-,18.479,,4,h,66524.4,14.4,B-,100,,970.7,7,65,94,Tb,31-Dec-2010,C. W. Reich,2025-10-17
304.1,0.3,28.8,1,,57.9963,912.5,0.7,6.96,0.02,1NU,609.8,0.7,64,95,Gd,,0,,3/2-,18.479,,4,h,66524.4,14.4,B-,100,,970.7,7,65,94,Tb,31-Dec-2010,C. W. Reich,2025-10-17
326.9,0.3,58.6,1,,0.0,970.5,0.7,6.75,0.01,1NU,644.1,0.8,64,95,Gd,,0,,3/2-,18.479,,4,h,66524.4,14.4,B-,100,,970.7,7,65,94,Tb,31-Dec-2010,C. W. Reich,2025-10-17

