mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
289,40,7,0,,3014.3,876,100,5,,,590,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
293,40,0.4,0,,3005.5,884,100,6.2,,,590,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
294,40,1.2,0,,3001.6,888,100,5.8,,,600,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
393,41,1.4,0,,2752.7,1137,100,6.1,,A,750,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
577,43,2.1,0,,2312.5,1577,100,6.4,,,1000,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
605,44,2.7,0,,2247.7,1642,100,6.4,,A,1040,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
623,44,32.6,0,,2205.69,1684,100,5.3,,A,1060,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
628,44,11.3,0,,2194.70,1695,100,5.8,,A,1070,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
637,44,4,0,,2173.13,1717,100,6.3,,A,1080,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
644,44,4,0,,2157.72,1732,100,6.3,,A,1090,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
713,44,6.7,0,,1998.63,1891,100,6.2,,A,1180,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
733,44,3.5,0,,1953.0,1937,100,6.6,,A,1210,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
742,44,8.7,0,,1932.5,1957,100,6.2,,,1220,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
813,45,1.6,0,,1770.2,2120,100,7,,,1310,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
833,45,0.4,0,,1725.3,2165,100,7.7,,,1330,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
850,45,2.6,0,,1686.4,2204,100,6.9,,1NU,1350,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
885,45,4.6,0,,1607.7,2282,100,6.7,,A,1400,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
894,45,6.2,0,,1587.88,2302,100,6.6,,1NU,1410,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
981,45,2.6,0,,1393.8,2496,100,7.1,,2U,1540,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
1057,45,2.7,0,,1225.08,2665,100,7.2,,1NU,1610,50,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
1088,46,1,0,,1155.8,2734,100,7.7,,A,1640,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
1103,46,2,0,,1122.79,2767,100,7.4,,1NU,1670,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
1121,45,4.8,,,1039.21,2851,100,8.4,,1U,1740,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
1169,46,3.2,,,976.83,2913,100,7.3,,3NU,1770,60,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
1503,46,5.2,,,242.22,3648,100,7.5,,A,2140,50,65,99,Tb,,0,,(5+),3.0,,1,m,180,6,B-,100,,3862.7,20,66,98,Dy,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17

