mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,539.010,746.7,0.8,,,A,,,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
,,,,0.000001512,361.674,924,0.8,,,2NU,,,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
,,,,,589.801,695.9,0.8,,,A,,,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
25.49,0.22,0.0018,0.0002,,1186.59,99.1,0.8,7.24,0.06,A,73.4,0.7,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
38.17,0.22,0.002,0.0002,,1140.36,145.3,0.8,7.7,0.05,A,106.6,0.6,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
55.58,0.23,0.167,0.003,,1079.621,206.1,0.8,6.253,0.014,A,150.1,0.8,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
62.6,0.24,0.0469,0.001,,1055.761,229.9,0.8,6.954,0.015,A,167.1,0.9,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
81.03,0.25,1.8,0.03,,995.094,290.6,0.8,5.693,0.012,A,209.4,0.5,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
101.8,0.4,0.0005,0.0003,,1037.5,356.4,1.3,7.5,0.25,1NU,254.5,1.5,66,99,Dy,,108.1562,0.0013,1/2-,1.257,,6,m,75.42,0.36,B-,2.27,0.09,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
137.87,0.27,0.012,0.002,,820.108,465.6,0.8,8.54,0.075,A,327.5,0.8,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
174.18,0.28,0.069,0.006,0.0000001,715.331,570.4,0.8,8.07,0.04,A,396.4,0.8,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
185.89,0.29,0.02,0.0008,,790.57,603.3,0.8,6.6,0.066,A,417.8,1,66,99,Dy,,108.1562,0.0013,1/2-,1.257,,6,m,75.42,0.36,B-,2.27,0.09,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
228.46,0.3,0.0012,0.0008,0.000000000027,565.719,720,0.8,10.2,0.35,1NU,492.5,1,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
255.03,0.29,0.0025,0.0022,0.0000000000104,515.475,770.2,0.8,10.3,0.6,1U,517.8,1,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
256.49,0.3,0.015,0.004,,491.046,794.7,0.8,9.23,0.12,A,538.6,0.9,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
283.82,0.31,0.03,,,419.543,866.2,0.8,9.1,,A,582.7,0.9,66,99,Dy,,0,,7/2+,2.331,,4,h,8391.6,14.4,B-,100,,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
288.6,0.31,1.91,0.13,,515.278,878.6,0.8,5.236,0.033,A,590.5,0.9,66,99,Dy,,108.1562,0.0013,1/2-,1.257,,6,m,75.42,0.36,B-,2.27,0.09,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
314.34,0.31,0.1,0.03,,449.20,944.7,0.8,6.63,0.115,1NU,632.3,0.8,66,99,Dy,,108.1562,0.0013,1/2-,1.257,,6,m,75.42,0.36,B-,2.27,0.09,1285.7,8,67,98,Ho,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
