mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,0.22,0.05,,1742.4,2248,86,,,,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,1.7,0.4,,2018.7,1971,86,,,A,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
112,29,1,0.2,,3606.2,384,86,,,,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
454,36,0.13,0.06,,2700.0,1290,86,,,A,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
454,36,0.19,0.06,,2789.2,1201,86,,,A,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
461,36,1.4,0.3,,2684.8,1305,86,,,,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
632,22,64,9,,2159.06,1711,50,5.08,0.08,A,1079,28,67,103,Ho,,0,,(6+),2.76,,5,m,165.6,3,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
695,38,0.19,0.06,,2132.8,1857,86,,,A,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
722,38,0.76,0.17,,2071.1,1919,86,,,,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
736,38,0.89,0.2,,2039.3,1951,86,,,A,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
760,38,4.3,0.9,,1982.6,2007,86,,,,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
765,38,13,3,,1972.60,2017,86,,,A,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
880,23,11.7,1.9,,1590.94,2279,50,6.31,0.08,1NU,1399,28,67,103,Ho,,0,,(6+),2.76,,5,m,165.6,3,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
959,23,0.8,0.4,,1413.14,2457,50,7.6,0.22,A,1499,28,67,103,Ho,,0,,(6+),2.76,,5,m,165.6,3,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
974,39,1.5,0.4,,1500.6,2489,86,,,2U,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
977,23,4.3,2.4,,1372.31,2498,50,6.9,0.25,1NU,1522,28,67,103,Ho,,0,,(6+),2.76,,5,m,165.6,3,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
1007,23,4.5,1.9,,1304.60,2565,50,6.93,0.19,2NU,1588,29,67,103,Ho,,0,,(6+),2.76,,5,m,165.6,3,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
1011,39,1.7,0.4,,1415.80,2574,86,,,A,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
1038,23,2.9,0.5,,1236.7,2633,50,7.17,0.09,A,1594,28,67,103,Ho,,0,,(6+),2.76,,5,m,165.6,3,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
1052,39,0.41,0.12,,1323.8,2666,86,,,A,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
1061,39,2.1,0.5,,1304.9,2685,86,,,1NU,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
1078,39,4,0.8,,1266.1,2724,86,,,1NU,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
1216,39,0.7,0.4,,959.77,3030,86,,,A,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
1247,39,16,3,,890.90,3099,86,,,A,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
1352,23,1.8,0.6,,540.63,3329,50,7.79,0.15,A,1977,27,67,103,Ho,,0,,(6+),2.76,,5,m,165.6,3,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
1616,40,14,14,,78.58,3911,86,,,A,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
1652,40,36,,,0.0,3990,86,5.79,,A,,,67,103,Ho,,120,70,(1+),43,,2,s,43,2,B-,100,,3870,50,68,102,Er,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17

