mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
23.58,0.37,0.0063,0.0009,,1400.6,90.7,1.3,7.05,0.07,1NU,67.2,1,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
26.16,0.38,0.0264,0.0012,,1391.1,100.2,1.4,6.56,0.03,,74.2,1.2,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
52.91,0.39,0.02,0.005,,1296.45,194.8,1.3,7.58,0.11,,142.2,0.9,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
56.28,0.39,0.332,0.016,,1284.97,206.3,1.3,6.441,0.023,1NU,150.3,1,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
74.08,0.42,0.0107,0.0005,,1225.7,265.6,1.4,8.281,0.022,,192,1,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
147.92,0.45,0.5,0.03,,998.59,492.7,1.3,7.49,0.03,1NU,345.2,1.2,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
177.73,0.46,2.19,0.08,,913.02,578.3,1.3,7.081,0.017,1NU,401,0.8,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
210.3,0.48,0.029,0.005,,822.41,668.9,1.3,9.18,0.08,1NU,459.5,1.1,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
241.66,0.49,0.055,0.017,,737.40,753.9,1.3,9.08,0.14,1NU,513.1,0.8,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
264.82,0.5,0.19,0.017,,675.88,815.4,1.3,8.66,0.04,1NU,551.1,1.5,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
280.18,0.5,0.02,0.00002,0.00000000126,635.57,855.7,1.3,9.7,0.097,1NU,576.1,1.5,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
362.59,0.52,94,4,0.0000026,424.948,1066.3,1.3,6.382,0.019,A,704,1.5,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
404.78,0.51,0.02,0.01,,326.88,1164.4,1.3,10.83,0.22,1U,765.8,1.4,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17
533.8,0.53,2.3,0.2,60589297.87121664,0.0,1491.3,1.3,9.36,0.04,1U,965.3,0.9,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-10-17

