mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
56.8,1.5,0.014,0.004,,1199.50,208,5,7.68,0.13,A,152.2,3.6,71,108,Lu,,0,,7/2+,4.59,,6,h,16524,216,B-,100,,1404,5,72,107,Hf,15-Nov-2008,Coral M. BAGLIN,2025-10-17
66.1,1.5,0.01,0.003,,1168.25,240,5,8.02,0.14,A,174.2,3.6,71,108,Lu,,0,,7/2+,4.59,,6,h,16524,216,B-,100,,1404,5,72,107,Hf,15-Nov-2008,Coral M. BAGLIN,2025-10-17
80.5,1.6,0.0011,0.0005,,1121.1,287,5,9.23,0.2,A,206.9,3.9,71,108,Lu,,0,,7/2+,4.59,,6,h,16524,216,B-,100,,1404,5,72,107,Hf,15-Nov-2008,Coral M. BAGLIN,2025-10-17
85.2,1.6,0.039,0.011,,1105.91,302,5,7.75,0.13,A,217.3,3.4,71,108,Lu,,0,,7/2+,4.59,,6,h,16524,216,B-,100,,1404,5,72,107,Hf,15-Nov-2008,Coral M. BAGLIN,2025-10-17
95.4,1.6,0.12,0.04,,1073.49,335,5,7.41,0.15,1NU,240,3.4,71,108,Lu,,0,,7/2+,4.59,,6,h,16524,216,B-,100,,1404,5,72,107,Hf,15-Nov-2008,Coral M. BAGLIN,2025-10-17
118,1.7,0.012,0.004,,1003.35,405,5,8.68,0.15,A,287.4,3.4,71,108,Lu,,0,,7/2+,4.59,,6,h,16524,216,B-,100,,1404,5,72,107,Hf,15-Nov-2008,Coral M. BAGLIN,2025-10-17
162.9,1.8,0.092,0.024,,870.16,538,5,8.2,0.12,1NU,375.4,3.3,71,108,Lu,,0,,7/2+,4.59,,6,h,16524,216,B-,100,,1404,5,72,107,Hf,15-Nov-2008,Coral M. BAGLIN,2025-10-17
254.4,1.9,0.0023,0.0009,,616.90,791,5,10.38,0.17,1NU,536.8,3.7,71,108,Lu,,0,,7/2+,4.59,,6,h,16524,216,B-,100,,1404,5,72,107,Hf,15-Nov-2008,Coral M. BAGLIN,2025-10-17
291.7,2,0.0068,0.0024,,518.43,890,5,10.09,0.16,1NU,598.7,3.1,71,108,Lu,,0,,7/2+,4.59,,6,h,16524,216,B-,100,,1404,5,72,107,Hf,15-Nov-2008,Coral M. BAGLIN,2025-10-17
362.2,2,1.9,0.6,,337.70,1070,5,7.93,0.14,1NU,708.8,3,71,108,Lu,,0,,7/2+,4.59,,6,h,16524,216,B-,100,,1404,5,72,107,Hf,15-Nov-2008,Coral M. BAGLIN,2025-10-17
411.6,2.1,11,3,,214.33,1080,70,7.34,0.12,1NU,783.1,3,71,108,Lu,,0,,7/2+,4.59,,6,h,16524,216,B-,100,,1404,5,72,107,Hf,15-Nov-2008,Coral M. BAGLIN,2025-10-17
499.3,2.1,87,3,,0.0,1350,41,6.707,0.017,A,909.6,2.9,71,108,Lu,,0,,7/2+,4.59,,6,h,16524,216,B-,100,,1404,5,72,107,Hf,15-Nov-2008,Coral M. BAGLIN,2025-10-17

