mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
62,9,0.04,0.03,,1784.31,226,30,6.7,0.4,,164,21,72,111,Hf,,0,,(3/2-),1.018,,2,h,3664.8,7.2,B-,100,,2010,30,73,110,Ta,15-Apr-2015,CORAL M. BAGLIN,2025-10-17
138,11,3.1,0.4,,1543.39,467,30,5.87,0.12,A,329,20,72,111,Hf,,0,,(3/2-),1.018,,2,h,3664.8,7.2,B-,100,,2010,30,73,110,Ta,15-Apr-2015,CORAL M. BAGLIN,2025-10-17
279,12,0.3,0.03,,1150.79,859,30,7.79,0.08,A,580,19,72,111,Hf,,0,,(3/2-),1.018,,2,h,3664.8,7.2,B-,100,,2010,30,73,110,Ta,15-Apr-2015,CORAL M. BAGLIN,2025-10-17
326,12,0.09,0.08,,1030.26,980,30,8.5,0.4,,655,18,72,111,Hf,,0,,(3/2-),1.018,,2,h,3664.8,7.2,B-,100,,2010,30,73,110,Ta,15-Apr-2015,CORAL M. BAGLIN,2025-10-17
353,12,0.08,0.07,,960.05,1050,30,8.7,0.4,,697,18,72,111,Hf,,0,,(3/2-),1.018,,2,h,3664.8,7.2,B-,100,,2010,30,73,110,Ta,15-Apr-2015,CORAL M. BAGLIN,2025-10-17
394,12,68.6,2,,856.909,1153,30,5.89,0.06,A,759,18,72,111,Hf,,0,,(3/2-),1.018,,2,h,3664.8,7.2,B-,100,,2010,30,73,110,Ta,15-Apr-2015,CORAL M. BAGLIN,2025-10-17
444,13,0.3,0.5,,735.06,1275,30,8.4,0.8,,832,19,72,111,Hf,,0,,(3/2-),1.018,,2,h,3664.8,7.2,B-,100,,2010,30,73,110,Ta,15-Apr-2015,CORAL M. BAGLIN,2025-10-17
505,12,0.15,0.09,,572.79,1437,30,9.7,0.3,1U,939,20,72,111,Hf,,0,,(3/2-),1.018,,2,h,3664.8,7.2,B-,100,,2010,30,73,110,Ta,15-Apr-2015,CORAL M. BAGLIN,2025-10-17
558,13,28.7,1.2,,459.060,1551,30,6.74,0.05,1NU,994,17,72,111,Hf,,0,,(3/2-),1.018,,2,h,3664.8,7.2,B-,100,,2010,30,73,110,Ta,15-Apr-2015,CORAL M. BAGLIN,2025-10-17
738,13,14,,440640,0.0,2010,30,8.5,,1U,1283,18,72,111,Hf,,0,,(3/2-),1.018,,2,h,3664.8,7.2,B-,100,,2010,30,73,110,Ta,15-Apr-2015,CORAL M. BAGLIN,2025-10-17

