mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
107.6,8.5,0.34,0.04,,2492.66,373,26,7.43,0.12,,266,18,73,111,Ta,,0,,(5-),8.7,,1,h,31320,360,B-,100,,2866,26,74,110,W,1-Oct-2009,CORAL M. BAGLIN,2025-10-17
141.7,8.9,0.76,0.08,,2389.14,477,26,7.43,0.1,,336,17,73,111,Ta,,0,,(5-),8.7,,1,h,31320,360,B-,100,,2866,26,74,110,W,1-Oct-2009,CORAL M. BAGLIN,2025-10-17
270.5,9.9,0.89,0.12,,2029.86,836,26,8.2,0.08,,566,16,73,111,Ta,,0,,(5-),8.7,,1,h,31320,360,B-,100,,2866,26,74,110,W,1-Oct-2009,CORAL M. BAGLIN,2025-10-17
381,11,14.7,0.8,,1746.04,1120,26,7.43,0.05,1NU,739,17,73,111,Ta,,0,,(5-),8.7,,1,h,31320,360,B-,100,,2866,26,74,110,W,1-Oct-2009,CORAL M. BAGLIN,2025-10-17
399,11,82,4,,1699.02,1167,26,6.75,0.05,1NU,768,16,73,111,Ta,,0,,(5-),8.7,,1,h,31320,360,B-,100,,2866,26,74,110,W,1-Oct-2009,CORAL M. BAGLIN,2025-10-17
408,11,0.39,0.1,,1676.45,1190,26,9.1,0.12,1NU,782,16,73,111,Ta,,0,,(5-),8.7,,1,h,31320,360,B-,100,,2866,26,74,110,W,1-Oct-2009,CORAL M. BAGLIN,2025-10-17
447,11,0.21,0.12,,1581.46,1285,26,9.5,0.3,A,838,16,73,111,Ta,,0,,(5-),8.7,,1,h,31320,360,B-,100,,2866,26,74,110,W,1-Oct-2009,CORAL M. BAGLIN,2025-10-17
505,11,0.5,0.11,,1424.94,1441,26,10.1,0.11,1U,945,16,73,111,Ta,,0,,(5-),8.7,,1,h,31320,360,B-,100,,2866,26,74,110,W,1-Oct-2009,CORAL M. BAGLIN,2025-10-17
569,11,4,3,0.0000077,1284.99,1581,26,8.6,0.4,A,1013,15,73,111,Ta,,0,,(5-),8.7,,1,h,31320,360,B-,100,,2866,26,74,110,W,1-Oct-2009,CORAL M. BAGLIN,2025-10-17

