mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1033,18,0.19,0.04,,11490,2409,36,4.85,0.1,,1376,19,7,11,N,,0,,1-,619,,2,ms,0.619,0.002,B-,100,,13896,19,8,10,O,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
1272,18,0.13,0.03,,10990,2909,36,5.38,0.11,,1638,19,7,11,N,,0,,1-,619,,2,ms,0.619,0.002,B-,100,,13896,19,8,10,O,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
1436,18,0.43,0.09,,10650,3249,36,5.07,0.1,,1814,19,7,11,N,,0,,1-,619,,2,ms,0.619,0.002,B-,100,,13896,19,8,10,O,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
1635,18,0.16,0.03,,10240,3659,36,5.73,0.09,,2026,19,7,11,N,,0,,1-,619,,2,ms,0.619,0.002,B-,100,,13896,19,8,10,O,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
1795,14,0.17,0.03,,9910,3989,28,5.87,0.08,,2195,14,7,11,N,,0,,1-,619,,2,ms,0.619,0.002,B-,100,,13896,19,8,10,O,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
1902,14,0.14,0.03,,9690,4209,28,6.06,0.1,,2308,14,7,11,N,,0,,1-,619,,2,ms,0.619,0.002,B-,100,,13896,19,8,10,O,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
2010,14,0.47,0.09,,9470,4429,28,5.64,0.09,,2420,14,7,11,N,,0,,1-,619,,2,ms,0.619,0.002,B-,100,,13896,19,8,10,O,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
2108,14,0.39,0.09,,9270,4629,28,5.8,0.11,,2523,14,7,11,N,,0,,1-,619,,2,ms,0.619,0.002,B-,100,,13896,19,8,10,O,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
2196,18,0.16,0.03,,9090,4809,36,6.27,0.09,,2614,18,7,11,N,,0,,1-,619,,2,ms,0.619,0.002,B-,100,,13896,19,8,10,O,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
2240,10,3.6,,,9000,4899,20,5,,A,2660,10,7,11,N,,0,,1-,619,,2,ms,0.619,0.002,B-,100,,13896,19,8,10,O,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
