mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
202.8,3.6,0.039,0.009,,1391.49,654,10,7.5,0.11,,453,6,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
221.7,3.7,0.022,0.007,,1338.83,706,10,7.87,0.15,,487,6,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
236.5,3.7,0.042,0.007,,1298.26,747,10,7.67,0.08,,512,7,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
261.7,3.8,0.079,0.013,,1229.93,815,10,7.53,0.08,,555,7,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
293.2,3.9,0.23,0.03,,1146.40,899,10,7.21,0.07,,608,7,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
300.2,3.9,0.089,0.016,,1127.89,917,10,7.66,0.09,,620,7,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
303.2,3.9,0.013,0.004,,1120.06,925,10,8.5,0.14,,625,6,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
304.6,3.9,0.138,0.02,,1116.68,928,10,7.48,0.07,,626,7,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
318.2,3.9,0.173,0.021,,1081.08,964,10,7.44,0.06,,648,7,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
351.2,4,0.54,0.06,,995.77,1049,10,7.08,0.06,,701,7,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
365.9,4,0.36,0.05,,958.37,1087,10,7.31,0.07,,725,6,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
373.9,4,0.25,0.03,,937.84,1107,10,7.5,0.06,,737,7,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
378.1,4,0.146,0.021,,927.04,1118,10,7.75,0.07,,743,7,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
382.3,4,0.117,0.022,,916.67,1128,10,7.86,0.09,,749,6,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
393.7,4,0.115,0.016,,888.16,1157,10,7.91,0.07,,767,7,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
419.2,4.1,0.47,0.06,,823.98,1221,10,7.38,0.07,,805,7,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
431.3,4.1,0.93,0.1,,793.97,1251,10,7.12,0.06,,824,6,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
443.6,4.1,0.54,0.06,,763.47,1282,10,7.4,0.06,,843,6,75,116,Re,,0,,(3/2+ 1/2+),9.8,,5,m,588,30,B-,100,,2045,10,76,115,Os,1-Dec-2023,M.S. Basunia,2025-10-17
