mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
75.4,1.7,5,0.9,,930.67,271,5,5.54,0.09,A,195.4,4.1,77,118,Ir,,100,5,11/2-,3.67,,8,h,13212,288,B-,95,5,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
86.2,1.7,1.9,0.3,,895.34,307,5,6.13,0.08,A,221,3.5,77,118,Ir,,100,5,11/2-,3.67,,8,h,13212,288,B-,95,5,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
111.8,1.8,36,6,,814.48,388,5,5.18,0.08,A,276.4,3.4,77,118,Ir,,100,5,11/2-,3.67,,8,h,13212,288,B-,95,5,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
151.2,1.9,0.6,0.6,,695.26,507,5,7.3,0.5,2NU,348.5,3.4,77,118,Ir,,100,5,11/2-,3.67,,8,h,13212,288,B-,95,5,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
197.1,2,7.7,1.4,,562.78,639,5,6.57,0.08,A,442.1,3.8,77,118,Ir,,100,5,11/2-,3.67,,8,h,13212,288,B-,95,5,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
202.6,2,0.9,0.5,,547.24,655,5,7.54,0.25,1NU,452.4,3.8,77,118,Ir,,100,5,11/2-,3.67,,8,h,13212,288,B-,95,5,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
216.6,2,1.2,0.5,,508.04,694,5,7.5,0.19,2NU,474.7,3.4,77,118,Ir,,100,5,11/2-,3.67,,8,h,13212,288,B-,95,5,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
235.8,2,1.5,0.6,,455.12,747,5,7.51,0.18,2U,495.8,4,77,118,Ir,,100,5,11/2-,3.67,,8,h,13212,288,B-,95,5,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
244.2,2,7.3,1.3,,432.03,770,5,6.87,0.08,1NU,526.4,3.2,77,118,Ir,,100,5,11/2-,3.67,,8,h,13212,288,B-,95,5,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
289.19,0.8,4.3,1.1,,211.30,890.7,2.1,7.12,0.12,1NU,601.2,2,77,118,Ir,,0,,3/2+,2.29,,17,h,8244,612,B-,100,,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
308.9,2.1,33,7,346464,259.28,943,5,6.52,0.1,1NU,634.8,3.2,77,118,Ir,,100,5,11/2-,3.67,,8,h,13212,288,B-,95,5,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
320.23,0.81,57,22,,129.71,972.3,2.1,6.13,0.17,1NU,652.6,1.9,77,118,Ir,,0,,3/2+,2.29,,17,h,8244,612,B-,100,,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
332.07,0.81,25,18,,98.830,1003.2,2.1,6.5,0.4,1NU,671.9,1.7,77,118,Ir,,0,,3/2+,2.29,,17,h,8244,612,B-,100,,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17
370.5,0.83,13,9,,0.0,1102,2.1,7,0.3,1NU,731.2,1.5,77,118,Ir,,0,,3/2+,2.29,,17,h,8244,612,B-,100,,1101.6,13,78,117,Pt,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2025-10-17

