mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
86.22,0.93,0.0321,0.0013,,1396.22,307,3,7.07,0.02,,220.9,2.2,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
133.2,1,0.0093,0.0006,,1249.4,454,3,8.16,0.03,,320.3,2.2,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
163.7,1.1,0.086,0.003,,1159.01,544,3,7.46,0.02,,380.5,2,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
182.7,1.1,0.077,0.003,,1103.99,599,3,7.64,0.02,,416.5,2,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
194.6,1.1,0.069,0.003,,1070.02,633,3,7.77,0.02,,439.1,2,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
231,1.1,1.037,0.013,0.0000000001,968.29,735,3,6.82,0.01,,503.5,2.7,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
287.6,1.1,0.084,0.003,,822.7,880,3,8.6,0.02,1U,598,1.8,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
296.4,1.2,4.26,0.05,0.00000000005,791.760,911,3,6.53,0.01,1NU,615.3,2.3,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
318.1,1.2,6.36,0.07,0.00000000036,734.64,968,3,6.45,0.01,A,651.1,2.2,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
392.6,1.2,12.01,0.12,0.00000000003,542.884,1160,3,6.45,0.01,1NU,768.1,2.2,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
412,1.2,0.37,0.07,0.000000000035,493.76,1209,3,8.03,0.09,1NU,798.1,2.6,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
480.3,1.3,1.54,0.1,0.000000000035,323.605,1379,3,7.62,0.03,1NU,899.8,2.1,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
482.9,1.3,3.28,0.07,0.000000000055,317.174,1386,3,7.3,0.01,1NU,903.5,2.3,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
567.6,1.2,1.3,,0.0000000013,77.170,1626,3,8.8,,1U,1066.8,3.5,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17
613.3,1.3,70.7,1.2,,0.0,1703,3,6.3,0.01,1NU,1090,1.7,78,121,Pt,,0,,5/2-,30.80,,21,m,1848,12.6,B-,100,,1705.1,21,79,120,Au,15-Oct-2006,BALRAJ SINGH,2025-10-17

