mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
342.3,8.9,0.096,0.0000096,,1959.0,1033,23,6.6,0.066,,694,14,79,123,Au,,0,,(1-),28.4,,12,s,28.4,1.2,B-,100,,2992,23,80,122,Hg,1-Sep-2023,F.G. KONDEV,2025-10-17
384,9.1,0.095,0.0000095,,1851.7,1140,23,6.7,0.067,1NU,760,14,79,123,Au,,0,,(1-),28.4,,12,s,28.4,1.2,B-,100,,2992,23,80,122,Hg,1-Sep-2023,F.G. KONDEV,2025-10-17
425.8,9.2,2.61,0.00261,,1745.90,1246,23,5.4,0.054,,824,13,79,123,Au,,0,,(1-),28.4,,12,s,28.4,1.2,B-,100,,2992,23,80,122,Hg,1-Sep-2023,F.G. KONDEV,2025-10-17
466.7,9.3,1.86,0.00186,,1643.62,1348,23,5.7,0.057,1NU,886,15,79,123,Au,,0,,(1-),28.4,,12,s,28.4,1.2,B-,100,,2992,23,80,122,Hg,1-Sep-2023,F.G. KONDEV,2025-10-17
498.6,9.4,2.13,0.00213,,1564.72,1427,23,5.7,0.057,1NU,933,14,79,123,Au,,0,,(1-),28.4,,12,s,28.4,1.2,B-,100,,2992,23,80,122,Hg,1-Sep-2023,F.G. KONDEV,2025-10-17
561.2,9.5,0.69,0.00069,,1411.36,1581,23,6.4,0.064,1NU,1025,14,79,123,Au,,0,,(1-),28.4,,12,s,28.4,1.2,B-,100,,2992,23,80,122,Hg,1-Sep-2023,F.G. KONDEV,2025-10-17
587.4,9.6,2.68,0.00268,,1347.92,1644,23,5.9,0.059,,1062,14,79,123,Au,,0,,(1-),28.4,,12,s,28.4,1.2,B-,100,,2992,23,80,122,Hg,1-Sep-2023,F.G. KONDEV,2025-10-17
749.9,9.8,0.5,0.005,0.0000000000135,959.94,2032,23,7,0.07,1NU,1288,13,79,123,Au,,0,,(1-),28.4,,12,s,28.4,1.2,B-,100,,2992,23,80,122,Hg,1-Sep-2023,F.G. KONDEV,2025-10-17
1163,10,90,9,,0.0,2992,23,5.4,0.054,1NU,1834,13,79,123,Au,,0,,(1-),28.4,,12,s,28.4,1.2,B-,100,,2992,23,80,122,Hg,1-Sep-2023,F.G. KONDEV,2025-10-17

