mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
177.8,2.8,0.439,0.017,,3389.09,587,8,5.77,0.03,,409,5,81,128,Tl,,0,,1/2+,2.162,,7,m,129.72,0.42,B-,100,,3970,6,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
187.3,2.8,0.1,0.03,,3361.5,614,8,6.48,0.14,,428,5,81,128,Tl,,0,,1/2+,2.162,,7,m,129.72,0.42,B-,100,,3970,6,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
292.8,3,0.644,0.023,,3069.92,906,8,6.255,0.021,1NU,614,6,81,128,Tl,,0,,1/2+,2.162,,7,m,129.72,0.42,B-,100,,3970,6,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
355.4,3.1,0.7,0.09,,2905.27,1071,8,6.48,0.06,1NU,716,5,81,128,Tl,,0,,1/2+,2.162,,7,m,129.72,0.42,B-,100,,3970,6,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
505.9,3.3,0.07,0.015,,2524.92,1451,8,7.95,0.1,,945.5,4.8,81,128,Tl,,0,,1/2+,2.162,,7,m,129.72,0.42,B-,100,,3970,6,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
518,3.1,0.031,0.016,,2460.9,1515,8,9.2,0.23,1U,1008,7,81,128,Tl,,0,,1/2+,2.162,,7,m,129.72,0.42,B-,100,,3970,6,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
591.1,3.3,0.25,0.08,,2315.90,1660,8,7.62,0.14,1NU,1069.2,4.7,81,128,Tl,,0,,1/2+,2.162,,7,m,129.72,0.42,B-,100,,3970,6,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
660,3.4,97,4,0.00000000396,2149.42,1827,8,5.186,0.02,1NU,1167,7,81,128,Tl,,0,,1/2+,2.162,,7,m,129.72,0.42,B-,100,,3970,6,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
708.9,3.4,0.1,,0.000000000161,2032.21,1944,8,8.3,,A,1234.9,4.6,81,128,Tl,,0,,1/2+,2.162,,7,m,129.72,0.42,B-,100,,3970,6,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17

