mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
24.3,1.7,0.00039,0.00014,,1328.2,94,6,7.67,0.18,,70.2,3.7,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2025-10-17
84.6,1.9,0.059,0.002,,1119.38,303,6,7.08,0.04,,219.2,3.5,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2025-10-17
90.5,1.9,0.578,0.011,,1100.173,322,6,6.17,0.03,,232.3,3.5,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2025-10-17
107.6,1.9,0.02,0.003,,1045.65,376,6,7.85,0.07,,269.4,3.4,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2025-10-17
121.1,2,0.065,0.003,,1003.605,418,6,7.49,0.03,1NU,297.9,3.4,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2025-10-17
172.9,2,0.0144,0.0013,,867.98,554,6,8.64,0.05,1U,384.8,3.5,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2025-10-17
261.7,2.1,0.0042,0.0008,,600.87,821,6,10.03,0.09,1U,565.6,3.4,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2025-10-17
320,2.3,30.1,0.4,0.000000000093,440.446,982,6,6.08,0.01,1NU,662.5,2.6,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2025-10-17
376.5,2.4,0.21,0.05,0.000000000078,292.805,1129,6,8.45,0.1,1NU,753.6,3,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2025-10-17
491.8,2.4,66.8,0.5,0.000003706,0.0,1422,6,6.31,0.01,1NU,930.7,3.4,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2025-10-17

