mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,23.4,0,,977.71,1050,8,5.6,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,1.4,0,,257.63,1770,8,7.7,,1NU,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,1.7,0,,1592.62,435,8,5.5,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,8.8,0,,1445.08,583,8,5.2,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,1,0,,1202.14,826,8,6.7,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,3.7,0,,1142.39,886,8,6.2,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,1,0,,592.72,1435,8,7.5,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,2.3,0,,982.87,1045,8,6.6,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,2.6,0,,1495.04,533,8,5.7,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,2.3,0,,1295.33,733,8,6.1,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,1.9,0,,1149.33,879,8,6.5,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,3.6,0,,874.2,1154,8,6.6,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,34,0,2735.4,0.0,2028,8,6.5,,1NU,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,0.9,0,,1543.15,485,8,6,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,0.6,0,,1343.1,685,8,6.6,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17
,,6.8,0,,1171.01,857,8,5.9,,,,,82,131,Pb,,0,,(9/2+),10.2,,3,m,612,18,B-,100,,2028,8,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-10-17

