mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
55.26,0.06,0.029,0,,1695.43,204.57,0.21,6.7,,,149.22,0.19,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
74.75,0.03,0.16,0,,1629.30,270.7,0.1,6.3,,,196.03,0.09,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
85.118,0.025,0.18,0,,1595.05,304.95,0.08,6.4,,,220,0.7,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
86.51,0.03,0.21,0,,1590.49,309.51,0.1,6.4,,,222.78,0.14,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
91.65,0.03,0.094,0,,1573.78,326.22,0.1,6.8,,,234.49,0.17,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
93.88,0.06,0.12,0,,1566.56,333.44,0.18,6.7,,,239.28,0.25,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
98.364,0.019,0.48,0,,1552.11,347.89,0.06,6.2,,,249.55,0.08,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
101.911,0.019,0.44,0,,1540.74,359.26,0.06,6.3,,,256.92,0.08,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
110.84,0.04,0.094,0,,1512.40,387.6,0.1,7,,,276.54,0.14,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
147.571,0.02,0.31,0,,1399.17,500.83,0.06,6.9,,,353.23,0.05,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
147.86,0.03,0.1,0,,1398.29,501.71,0.09,7.4,,,353.62,0.12,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
160.936,0.017,0.7,0,,1359.12,540.88,0.05,6.6,,,379.889,0.04,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
173.42,,0.39,0,,1322.17,577.83,0.05,7,,,404.19,0.07,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
208.311,0.025,0.12,0,,1221.10,678.9,0.07,7.7,,,470.33,0.09,86,137,Rn,,0,,7/2,24.3,,4,m,1458,24,B-,100,,2007,8,87,136,Fr,1-May-2001,E. BROWNE,2025-10-17
