mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
165.2,3.8,0.05,0.009,,2368.7,554,11,7,0.1,,389,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
207.1,3.9,0.27,0.05,,2246.5,676,11,6.5,0.1,,470,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
213.1,3.9,0.05,0.009,,2229.4,694,11,7.3,0.1,,481,8,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
246.5,4,0.045,0.009,,2135.3,788,11,7.5,0.1,,542,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
252.9,4,0.1,0.02,,2117.4,806,11,7.2,0.1,,553,8,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
267.4,4,0.12,0.02,,2077.3,846,11,7.2,0.1,,579,8,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
276.5,4.1,0.08,0.02,,2052.3,871,11,7.4,0.1,1NU,594,8,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
279.9,4.1,0.1,0.02,,2043.2,880,11,7.4,0.1,,600,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
295.7,4.1,0.13,0.02,,2000.2,923,11,7.31,0.07,,627,6,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
306.8,4.1,0.1,0.02,,1969.92,953,11,7.5,0.1,,646,6,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
334.3,4.2,0.073,0.013,,1896.3,1027,11,7.7,0.1,,693,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
356.2,4.2,0.2,0.04,,1838.49,1085,11,7.4,0.1,,728,6,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
363.9,4.2,0.059,0.01,,1818.1,1105,11,7.9,0.1,,741,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
372,4.2,0.49,0.08,,1796.75,1126,11,7,0.1,,753,8,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
374.7,4.2,0.98,0.14,,1789.61,1133,11,6.74,0.07,,758,6,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
388,4.3,0.3,0.06,,1754.84,1168,11,7.3,0.1,,779,8,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
395.1,4.3,0.2,0.04,,1736.3,1187,11,7.5,0.1,,791,6,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
425.2,4.3,0.36,0.07,,1658.52,1264,11,7.4,0.1,,839,8,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
427.6,4.3,1.8,0.3,,1652.42,1271,11,6.7,0.1,1NU,843,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
442.3,4.3,0.12,0.02,,1614.41,1309,11,7.9,0.1,,865,8,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
466.1,4.4,0.22,0.03,,1553.7,1369,11,7.69,0.07,,903,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
512.2,4.4,1.9,0.3,,1437.08,1486,11,6.88,0.07,1NU,973,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
512.8,4.4,2.8,0.4,,1435.47,1488,11,6.71,0.07,A,975,8,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
517,4.4,7.2,0.9,,1425.03,1498,11,6.32,0.06,,981,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
531,4.4,0.33,0.06,,1389.71,1533,11,7.7,0.1,,1002,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
535.3,4.4,1.9,0.3,,1378.93,1544,11,6.94,0.07,,1009,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
535.6,4.4,5.6,0.7,,1378.35,1545,11,6.47,0.06,A,1010,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
547.6,4.4,0.27,0.06,,1348.22,1575,11,7.8,0.1,,1027,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
600.4,4.5,0.16,0.03,,1216.9,1706,11,8.2,0.1,,1104,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
612.4,4.5,0.14,0.03,,1187.1,1736,11,8.3,0.1,,1121,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
651.9,4.5,0.09,,,1089.98,1833,11,8.5,,,1180,6,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
667,4.5,10.3,1.4,,1052.95,1870,11,6.52,0.07,A,1202,6,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
702.7,4.6,0.37,0.1,,965.51,1957,11,8,0.1,1NU,1254,7,87,137,Fr,,0,,1(-),3.33,,10,m,199.8,6,B-,100,,2923,11,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2025-10-17
