mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,49.4,3650.5913693563116,0,7.4,,A,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
631.5,,9,1,,2008,1691.995999822188,0,6.32,0.06,,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
643.6,,6,1,,1978,1721.9959288970495,0,6.53,0.08,A,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
655.7,,14,1,,1948,1751.995857971911,0,6.19,0.04,,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
683.2,,6,1,,1880,1819.9956972082637,0,6.61,0.08,,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
780.4,,6,2,,1641.8,2058.195134062664,0,6.8,0.15,,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
864.7,,4.9,0.9,,1437,2262.994649880385,0,7.04,0.09,,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
960.9,,1.1,0.2,,1105.7,2594.2938666304385,0,9.18,0.09,1U,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
995.1,,5.2,0.9,,1122.8,2577.193907057768,0,7.22,0.08,A,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
1013,,1.2,0.8,,1078.7,2621.293802797814,0,7.9,0.3,A,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
1014,,2.1,0.5,,1077.5,2622.4937999608087,0,7.64,0.11,1NU,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
1016,,2,1,,1072.9,2627.0937890856208,0,7.67,0.22,A,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
1097,,5.3,0.5,,774.3,2925.6930831440754,0,8.79,0.05,1U,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
1141,,0.7,0.3,,774.1,2925.8930826712412,0,8.3,0.19,A,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
1141,,3.9,0.6,,785.2,2914.7931089135423,0,7.55,0.07,A,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
1166,,18.2,0.9,,714.3,2985.6929412937984,0,6.92,0.03,1NU,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17
1466,,15,3,,0,3699.9912525662503,0,7.35,0.09,A,,,89,143,Ac,,0,,(1+),119,,5,s,119,5,B-,100,,3708,13,90,142,Th,1-Nov-2004,E. BROWNE,2025-10-17

