mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
200.8,4.9,0.18,0.05,,2226.9,662,14,7.21,0.13,,462,9,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
225.6,4.9,1.08,0.06,,2155.40,734,14,6.58,0.04,,509,9,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
249.9,5,2.6,0.12,,2086.54,802,14,6.33,0.04,1NU,552,9,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
287.8,5.1,1.78,0.1,,1981.06,908,14,6.68,0.04,,621,9,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
288.5,5.1,3.25,0.13,,1979.15,910,14,6.42,0.03,,621,10,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
290.8,5.1,2.04,0.12,,1972.62,916,14,6.64,0.04,,625,10,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
330.2,5.2,0.6,0.06,,1865.39,1024,14,7.33,0.05,,693,10,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
351.5,5.3,8.2,0.4,,1807.88,1081,14,6.28,0.03,,729,9,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
406.4,5.4,1.91,0.14,,1662.36,1227,14,7.11,0.04,,821,10,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
428.4,5.4,4.7,0.3,,1604.80,1284,14,6.79,0.04,,856,10,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
558.5,5.6,0.35,0.1,,1271.09,1618,14,8.28,0.13,,1058,9,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
622.2,5.6,2.18,0.18,,1110.66,1778,14,7.64,0.04,1NU,1154,9,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
671.5,5.7,1.11,0.15,,987.65,1901,14,8.04,0.06,1NU,1229,8,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
680,5.7,1.85,0.14,,966.58,1922,14,7.83,0.04,1NU,1241,8,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
683.4,5.7,0.26,0.11,,957.99,1931,14,8.69,0.19,A,1246,9,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
699.1,5.7,0.52,0.05,,919.225,1970,14,8.42,0.05,A,1270,8,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
793,5.7,48,3,0.00000000378,687.56,2201,14,6.64,0.03,1NU,1407,8,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
1057,5.8,10,1,,45.2431,2844,14,7.7,0.077,A,1783,8,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17
1075.7,5.8,10,1,739063206324944.6,0,2889,14,7.8,0.078,A,1809,10,91,145,Pa,,0,,1(+),9.1,,1,m,546,6,B-,100,,2889,14,92,144,U,1-Apr-2022,Shaofei Zhu,2025-10-17

