mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,1.2,,,3220.69,5219,30,6.1,,1NU,2826,16,9,14,F,,0,,(5/2+),2.23,,14,s,2.23,0.14,B-,100,,8440,30,10,13,Ne,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-10-17
,,1.1,,,3836.35,4604,30,5.9,,1U,2497,15,9,14,F,,0,,(5/2+),2.23,,14,s,2.23,0.14,B-,100,,8440,30,10,13,Ne,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-10-17
,,,,,1701.52,6738,30,,,A,,,9,14,F,,0,,(5/2+),2.23,,14,s,2.23,0.14,B-,100,,8440,30,10,13,Ne,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-10-17
,,14,,,5201+X,3239,30,,,,,,9,14,F,,0,,(5/2+),2.23,,14,s,2.23,0.14,B-,100,,8440,30,10,13,Ne,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-10-17
1800,15,9,0,,4435.9,4004,30,4.7,,,2206,16,9,14,F,,0,,(5/2+),2.23,,14,s,2.23,0.14,B-,100,,8440,30,10,13,Ne,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-10-17
2095,15,22,0,,3830.9,4609,30,4.6,,,2515,15,9,14,F,,0,,(5/2+),2.23,,14,s,2.23,0.14,B-,100,,8440,30,10,13,Ne,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-10-17
2291,15,12,0,,3431.5,5008,30,5,,A,2719,16,9,14,F,,0,,(5/2+),2.23,,14,s,2.23,0.14,B-,100,,8440,30,10,13,Ne,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-10-17
2741,15,2.5,0,,2516.6,5923,30,6.1,,,3183,15,9,14,F,,0,,(5/2+),2.23,,14,s,2.23,0.14,B-,100,,8440,30,10,13,Ne,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-10-17
2840,15,5.6,0,,2314.9,6125,30,5.8,,A,3286,15,9,14,F,,0,,(5/2+),2.23,,14,s,2.23,0.14,B-,100,,8440,30,10,13,Ne,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-10-17
3083,15,11,0,,1822.29,6618,30,5.6,,A,3536,16,9,14,F,,0,,(5/2+),2.23,,14,s,2.23,0.14,B-,100,,8440,30,10,13,Ne,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-10-17
3481,15,3,,,1016.9,7423,30,6.4,,2NU,3931,16,9,14,F,,0,,(5/2+),2.23,,14,s,2.23,0.14,B-,100,,8440,30,10,13,Ne,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-10-17
3983,15,30,8,37.25,0.0,8440,30,5.7,0.1,A,4456,15,9,14,F,,0,,(5/2+),2.23,,14,s,2.23,0.14,B-,100,,8440,30,10,13,Ne,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-10-17

