mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,1357.25,1343,200,,,,,,93,149,Np,X,0,,(6+),5.5,,1,m,330,6,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
,,,,,1092.15,1608,200,,,A,,,93,149,Np,X,0,,(6+),5.5,,1,m,330,6,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
104,65,1.5,0.5,,2331.3,369,200,4.9,1.1,A,270,140,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
131,67,0.1,0.04,,2246.1,454,200,6.4,0.9,,320,140,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
224,71,0.78,0.25,,1969.9,730,200,6.1,0.5,,510,130,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
231,72,1,0.3,,1949.8,750,200,6.1,0.5,,520,130,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
247,72,0.78,0.25,,1903.6,796,200,6.3,0.5,,550,130,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
257,73,1.4,0.5,,1874.0,826,200,6.1,0.5,,570,130,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
258,73,0.18,0.07,,1871.5,828,200,7,0.5,,570,130,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
388,76,2.2,0.7,,1517.6,1182,200,6.4,0.4,1NU,790,120,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
421,77,0.39,0.14,,1428.0,1272,200,7.3,0.3,1NU,850,120,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
432,77,0.9,0.3,,1401.1,1299,200,7,0.3,,870,120,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
501,74,0.49,0.16,,1154.6,1545,200,8.3,0.4,1U,1020,120,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
516,79,1.6,0.5,,1181.6,1518,200,7,0.3,A,1000,120,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
572,79,0.07,0.04,,1039.2,1661,200,8.5,0.4,,1090,120,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
590,80,0.09,0.04,,992.6,1707,200,8.4,0.3,A,1120,120,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
620,98,0.66,0.22,,832.3,1868,200,8.6,0.3,1U,1260,130,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
674,81,4.7,1.5,,780.46,1920,200,6.85,0.23,1NU,1250,120,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
972,82,88,,0.00000000016,44.545,2700,200,6.1,,A,1680,120,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17
990,82,88,,11770733388522.816,0.0,2700,200,6.1,,A,1710,120,93,149,Np,,0,,(1+),2.2,,2,m,132,12,B-,100,,2700,200,94,148,Pu,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2025-10-17

