mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
55.3,5.2,0.0109,0.0027,,2171.41,205.59,0.06,7.33,0.17,,,,95,151,Am,X,0,,(2-),25.0,,2,m,1500,12,B-,100,,2377,18,96,150,Cm,31-Jul-2022,C.D. Nesaraja,2025-10-17
62.6,5.3,0.00461,0.00031,,2146.04,230.96,0.05,7.87,0.12,,,,95,151,Am,X,0,,(2-),25.0,,2,m,1500,12,B-,100,,2377,18,96,150,Cm,31-Jul-2022,C.D. Nesaraja,2025-10-17
96.4,5.6,0.012,0.006,,2032.49,344.51,0.06,8,0.23,,,,95,151,Am,X,0,,(2-),25.0,,2,m,1500,12,B-,100,,2377,18,96,150,Cm,31-Jul-2022,C.D. Nesaraja,2025-10-17
111.7,5.7,0.018,0.004,,1983.33,393.67,0.08,8.01,0.12,,,,95,151,Am,X,0,,(2-),25.0,,2,m,1500,12,B-,100,,2377,18,96,150,Cm,31-Jul-2022,C.D. Nesaraja,2025-10-17
123,5.8,0.0081,0.0014,,1947.07,429.93,0.06,8.48,0.1,,,,95,151,Am,X,0,,(2-),25.0,,2,m,1500,12,B-,100,,2377,18,96,150,Cm,31-Jul-2022,C.D. Nesaraja,2025-10-17
130.2,5.8,0.0156,0.0013,,1924.55,452.45,0.04,8.27,0.07,,,,95,151,Am,X,0,,(2-),25.0,,2,m,1500,12,B-,100,,2377,18,96,150,Cm,31-Jul-2022,C.D. Nesaraja,2025-10-17
135.1,5.8,0.0064,0.0011,,1909.31,467.69,0.05,8.7,0.1,,,,95,151,Am,X,0,,(2-),25.0,,2,m,1500,12,B-,100,,2377,18,96,150,Cm,31-Jul-2022,C.D. Nesaraja,2025-10-17
136.1,5.9,0.00184,0.00033,,1906.10,470.9,0.14,9.25,0.1,,,,95,151,Am,X,0,,(2-),25.0,,2,m,1500,12,B-,100,,2377,18,96,150,Cm,31-Jul-2022,C.D. Nesaraja,2025-10-17
137.6,5.9,0.0221,0.002,,1901.31,475.69,0.06,8.19,0.07,,,,95,151,Am,X,0,,(2-),25.0,,2,m,1500,12,B-,100,,2377,18,96,150,Cm,31-Jul-2022,C.D. Nesaraja,2025-10-17
138.7,5.9,0.014,0.011,,1898.07,478.93,0.09,8.4,0.4,1NU,,,95,151,Am,X,0,,(2-),25.0,,2,m,1500,12,B-,100,,2377,18,96,150,Cm,31-Jul-2022,C.D. Nesaraja,2025-10-17
142.3,5.9,0.059,0.01,,1886.756,490.24,0.03,7.81,0.09,1NU,,,95,151,Am,X,0,,(2-),25.0,,2,m,1500,12,B-,100,,2377,18,96,150,Cm,31-Jul-2022,C.D. Nesaraja,2025-10-17
146,5.9,0.036,0.014,,1875.52,501.48,0.11,8.05,0.18,,,,95,151,Am,X,0,,(2-),25.0,,2,m,1500,12,B-,100,,2377,18,96,150,Cm,31-Jul-2022,C.D. Nesaraja,2025-10-17
