mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,1210,570,4,,,A,,,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,0.0067,0.0014,,1218.2,562,4,,,,396.8,2.7,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
21.9,1.1,0.0015,0.0002,,1695.15,85,4,7.95,0.09,1NU,63.1,2.9,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
31.8,1.1,0.117,0.004,,1658.00,122,4,6.55,0.05,1NU,90.4,2.9,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
98.9,1.3,0.0076,0.0011,,1426.86,353,4,9.18,0.07,A,254.3,2.8,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
103.6,1.3,0.0034,0.0004,,1411.33,369,4,9.59,0.06,,265.5,2.8,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
111.6,1.3,0.0039,0.0002,,1385.50,394,4,9.62,0.03,,283.3,2.8,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
139.7,1.3,0.021,0.004,,1296.60,483,4,9.18,0.09,1NU,343.7,2.7,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
150.7,1.2,0.008,0.0008,,1266.6,513,4,9.69,0.05,1U,365.2,2.8,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
156.6,1.4,0.0065,0.0004,,1244.50,535,4,9.83,0.03,1NU,379,2.7,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
167.9,1.4,0.027,0.002,,1209.97,570,4,9.3,0.04,A,402.4,2.7,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
174.7,1.4,0.0161,0.0009,,1189.39,591,4,9.58,0.03,1NU,416.2,2.7,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
179.3,1.4,0.059,0.004,,1175.52,604,4,9.05,0.03,A,426.1,2.7,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
184.7,1.3,0.0015,0.0002,,1154.24,626,4,10.8,0.1,1U,445.6,2.8,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
214.4,1.4,6.23,0.18,,1071.37,709,4,7.25,0.02,1NU,495,2.6,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
227.9,1.4,83.4,1.6,,1031.852,748,4,6.21,0.02,1NU,521.7,2.6,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
271.9,1.5,,,,905.89,874,4,,,A,,,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
284,1.5,0.06,0.00006,,871.57,908,4,9.6,0.096,A,625.3,3.4,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
523,1.5,0.35,0.2,,141.875,1638,4,10.6,0.3,1U,1126.2,3.7,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
574.3,1.5,4.9,0.049,,0.0,1780,4,9.7,0.097,1U,1218.6,4.8,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
594.1,1.6,4.9,0.049,,42.721,1737,4,8.7,0.087,1NU,1142,3.6,97,153,Bk,,0,,2-,3.212,,5,h,11563.2,18,B-,100,,1781.7,25,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17

