mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
3880,55,3,,,4355.2,8235,110,4.8,,,4350,60,10,17,Ne,,0,,(3/2+),31.5,,13,ms,0.0315,0.0013,B-,100,,12570,90,11,16,Na,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-17
4163,55,3,0.6,,3781.3,8809,110,4.96,0.1,,4650,60,10,17,Ne,,0,,(3/2+),31.5,,13,ms,0.0315,0.0013,B-,100,,12570,90,11,16,Na,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-17
4211,55,2.6,0.6,,3685.3,8905,110,5.04,0.11,,4690,60,10,17,Ne,,0,,(3/2+),31.5,,13,ms,0.0315,0.0013,B-,100,,12570,90,11,16,Na,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-17
4262,55,1.3,0.4,,3582.3,9008,110,5.36,0.14,,4750,60,10,17,Ne,,0,,(3/2+),31.5,,13,ms,0.0315,0.0013,B-,100,,12570,90,11,16,Na,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-17
4298,55,1.6,0.4,,3508.2,9082,110,5.29,0.12,,4780,60,10,17,Ne,,0,,(3/2+),31.5,,13,ms,0.0315,0.0013,B-,100,,12570,90,11,16,Na,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-17
4540,55,11,1,,3019.2,9571,110,4.56,0.05,,5030,60,10,17,Ne,,0,,(3/2+),31.5,,13,ms,0.0315,0.0013,B-,100,,12570,90,11,16,Na,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-17
4649,55,8.9,0.9,,2799.2,9791,110,4.7,0.06,,5140,60,10,17,Ne,,0,,(3/2+),31.5,,13,ms,0.0315,0.0013,B-,100,,12570,90,11,16,Na,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-17
4902,55,1.1,0.6,,2288.1,10302,110,5.71,0.24,,5400,60,10,17,Ne,,0,,(3/2+),31.5,,13,ms,0.0315,0.0013,B-,100,,12570,90,11,16,Na,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-17
4949,55,0.9,0.6,,2192.1,10398,110,5.8,0.3,,5450,60,10,17,Ne,,0,,(3/2+),31.5,,13,ms,0.0315,0.0013,B-,100,,12570,90,11,16,Na,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-17
5179,55,3.4,0.5,,1728.1,10862,110,5.33,0.07,A,5680,60,10,17,Ne,,0,,(3/2+),31.5,,13,ms,0.0315,0.0013,B-,100,,12570,90,11,16,Na,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-17
6002,55,4.2,1.3,,63.0,12527,110,5.54,0.14,A,6520,60,10,17,Ne,,0,,(3/2+),31.5,,13,ms,0.0315,0.0013,B-,100,,12570,90,11,16,Na,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-17
6034,55,59.5,3,,0,12590,110,4.4,0.04,A,6550,60,10,17,Ne,,0,,(3/2+),31.5,,13,ms,0.0315,0.0013,B-,100,,12570,90,11,16,Na,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-17

