mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
3054.9,5,1.4,0.2,,7461.8,6568,10,4.7,0.1,A,3514,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17
3183.5,5,0.5,0.1,,7200.9,6829,10,5.2,0.1,,3646,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17
3507.1,5,0.2,0.1,,6545.0,7485,10,5.8,0.2,A,3978,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17
3817.3,5,0.3,0.1,,5916.9,8113,10,5.8,0.2,,4295,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17
4038,5,0.1,,,5470.2,8560,10,6.4,,A,4521,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17
4136.9,5,1.5,0.5,,5270.1,8760,10,5.2,0.2,A,4622,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17
4185.6,5,0.3,0.1,,5171.5,8858,10,8.2,0.2,1U,4663,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17
4330.3,5,0.2,0.1,,4878.7,9151,10,6.2,0.2,A,4819,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17
4487.4,5,3.2,0.4,,4561.0,9469,10,5.1,0.1,A,4980,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17
4490.5,5,1,0.25,,4554.6,9475,10,5.6,0.1,A,4983,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17
4832.9,5,20.1,1.9,,3862.15,10168,10,4.42,0.01,A,5333,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17
6013.7,5,11,6,,1473.55,12556,10,5.1,0.2,A,6536,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17
6741.7,5,60,5,75294,0.0,14030,10,4.6,0.1,A,7279,5,11,17,Na,,0,,1+,30.5,,4,ms,0.0305,0.0004,B-,100,,14032,10,12,16,Mg,1-Apr-2013,M. Shamsuzzoha Basunia,2025-10-17

