mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,1.27,0.25,,10004+Y,7352,5,,,,,,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
,,30,5,,6340+X,11016,5,,,,,,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
5387,2.5,3.6,0.4,,6066.24,11290,5,5.56,0.05,A,5899.1,2.6,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
5458.3,2.5,0.49,0.16,,5921.8,11434,5,6.45,0.15,,5972.1,2.5,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
5469.9,2.5,2.5,0.5,,5898.38,11457,5,5.74,0.09,A,5983.9,2.6,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
5607.9,2.5,0.95,0.18,,5619.13,11737,5,6.21,0.09,,6124.9,2.5,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
5709.5,2.5,10,0.9,,5413.53,11942,5,5.23,0.04,A,6228.1,2.5,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
5866.9,2.5,9.5,1,,5095.11,12261,5,5.31,0.05,A,6388.9,2.5,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
5902.8,2.5,8,0.8,,5022.47,12333,5,5.39,0.05,A,6425.8,2.5,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
5930,2.5,22.1,1.9,,4967.37,12388,5,4.96,0.04,A,6453.4,2.5,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
6021,2.5,0.11,,,4783.25,12573,5,7.3,,,6546.2,2.5,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
6064.7,2.5,2.5,0.3,,4694.71,12661,5,5.95,0.06,A,6590.3,2.6,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
6070.2,2.5,0.5,0.09,,4683.62,12672,5,6.65,0.08,,6595.9,2.6,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
6279.7,2.5,0.26,0.08,,4259.53,13096,5,7,0.14,,6809.8,2.5,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
6633.8,2.5,0.6,,,3542.59,13813,5,6.8,,A,7171,2.5,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
6673.2,2.5,1.6,0.6,,3462.78,13893,5,6.34,0.17,,7211.3,2.5,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
6673.9,2.5,2.5,1.5,,3461.44,13894,5,6.1,0.3,A,7212.3,2.5,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
6713.3,2.5,0.2,,,3381.52,13974,5,7.3,,2NU,7242.7,2.6,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
7164.2,2.5,2,0.6,0.000000000005,2468.02,14888,5,6.39,0.13,A,7712.6,2.6,11,19,Na,,0,,2+,45.4,,11,ms,0.0454,0.0011,B-,100,,17356,5,12,18,Mg,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-10-17
