mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
55.4,0.63,0.03,,,3802,186.4,1.9,3.5,,1NU,131.4,1.4,15,20,P,,0,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,3988.4,19,16,19,S,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
99.39,0.69,0.02,,,3675,313.4,1.9,4.4,,,214.3,1.2,15,20,P,,0,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,3988.4,19,16,19,S,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
127.98,0.71,0.02,,,3597,391.4,1.9,4.7,,,263.7,1.1,15,20,P,,0,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,3988.4,19,16,19,S,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
142.64,0.72,0.11,,,3558,430.4,1.9,4.1,,,288.4,1.2,15,20,P,,0,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,3988.4,19,16,19,S,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
195.84,0.76,0.02,,,3421,567.4,1.9,5.3,,2NU,345,1.1,15,20,P,,0,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,3988.4,19,16,19,S,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
397.76,0.85,0.47,0.03,,2938.4,1050,1.9,4.96,0.03,A,653.4,1.6,15,20,P,,0,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,3988.4,19,16,19,S,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
493.67,0.85,0.03,,,2721,1267.4,1.9,6.5,,2NU,748,1.1,15,20,P,,0,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,3988.4,19,16,19,S,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
661.81,0.88,0.08,,,2350,1638.4,1.9,6.5,,1NU,977.7,1.4,15,20,P,,0,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,3988.4,19,16,19,S,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
826.86,0.89,0.08,,,1994,1994.4,1.9,6.9,,3NU,1121.7,1,15,20,P,,0,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,3988.4,19,16,19,S,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
1025.59,0.91,98.8,0.03,,1572.29,2416.1,1.9,4.122,0.008,A,1392.4,1.6,15,20,P,,0,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,3988.4,19,16,19,S,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
1782.87,0.93,0.7,,,0,3988.3,1.9,7.3,,A,2206.7,1,15,20,P,,0,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,3988.4,19,16,19,S,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17

