mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
301,14,0.49,0.17,,6651.7,830,32,4.8,0.2,,530,19,17,23,Cl,,0,,2-,1.35,,3,m,81,1.8,B-,100,,7480,30,18,22,Ar,30-Sep-2015,JUN CHEN,2025-10-17
376,14,0.16,0.03,,6476.1,1006,32,5.6,0.1,A,630,19,17,23,Cl,,0,,2-,1.35,,3,m,81,1.8,B-,100,,7480,30,18,22,Ar,30-Sep-2015,JUN CHEN,2025-10-17
436,15,0.26,0.08,,6338.7,1143,32,5.6,0.2,A,708,18,17,23,Cl,,0,,2-,1.35,,3,m,81,1.8,B-,100,,7480,30,18,22,Ar,30-Sep-2015,JUN CHEN,2025-10-17
464,15,0.32,0.06,,6276.7,1205,32,5.6,0.1,,742,18,17,23,Cl,,0,,2-,1.35,,3,m,81,1.8,B-,100,,7480,30,18,22,Ar,30-Sep-2015,JUN CHEN,2025-10-17
494,15,0.041,0.025,,6208.5,1273,32,6.6,0.3,,781,18,17,23,Cl,,0,,2-,1.35,,3,m,81,1.8,B-,100,,7480,30,18,22,Ar,30-Sep-2015,JUN CHEN,2025-10-17
527,15,0.04,0.00004,,6133.5,1348,32,6.7,0.067,,822,18,17,23,Cl,,0,,2-,1.35,,3,m,81,1.8,B-,100,,7480,30,18,22,Ar,30-Sep-2015,JUN CHEN,2025-10-17
563,15,0.32,0.06,,6053.6,1428,32,5.9,0.1,A,866,18,17,23,Cl,,0,,2-,1.35,,3,m,81,1.8,B-,100,,7480,30,18,22,Ar,30-Sep-2015,JUN CHEN,2025-10-17
610,15,0.041,0.025,,5950.5,1531,32,6.9,0.3,,923,17,17,23,Cl,,0,,2-,1.35,,3,m,81,1.8,B-,100,,7480,30,18,22,Ar,30-Sep-2015,JUN CHEN,2025-10-17
631,15,0.65,0.09,,5905.9,1576,32,5.8,0.1,A,946,18,17,23,Cl,,0,,2-,1.35,,3,m,81,1.8,B-,100,,7480,30,18,22,Ar,30-Sep-2015,JUN CHEN,2025-10-17
642,15,5.2,0.5,,5880.1,1602,32,4.9,0.1,A,961,17,17,23,Cl,,0,,2-,1.35,,3,m,81,1.8,B-,100,,7480,30,18,22,Ar,30-Sep-2015,JUN CHEN,2025-10-17
