mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
954.83,0.61,0.53,0.1,,4569.1,2275.7,1.3,6,0.1,,1321.3,0.9,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
1055.13,0.43,2,0.5,,4357.3,2487.5,0.9,5.6,0.1,,1433.9,0.6,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
1204.51,0.62,0.27,0.05,,4044.0,2800.8,1.3,6.7,0.1,,1596.8,0.8,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
1227.19,0.39,23,4,,3996.62,2848.1,0.8,4.8,0.1,,1622.42,0.42,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
1366.11,0.42,41,8,,3707.2,3137.6,0.9,4.7,0.1,,1772.5,0.6,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
1515.15,0.49,0.4,,,3398.3,3446.5,1,6.9,,,1931.9,0.6,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
1557.25,0.4,0.47,0.21,,3311.24,3533.5,0.8,6.9,0.2,,1976.75,0.49,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
1811.68,0.49,0.2,,,2786.6,4058.2,1,7.5,,,2247.4,0.5,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
1830.5,4.9,0.94,0.21,,2747.9,4096.9,1,6.9,0.1,,2266.4,0.6,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
1917.73,0.44,0.52,0.21,,2568.7,4276,0.9,7.2,0.2,,2358.6,0.5,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
1942.92,0.42,1.8,0.5,,2517.0,4327.7,0.9,6.7,0.2,,2384.8,0.5,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
2103.29,0.4,0.076,,,2188.22,4656.5,0.8,8.2,,,2553.89,0.41,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
2330.88,0.42,0.87,0.17,,1722.6,5122.1,0.9,7.3,0.1,,2791,0.5,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
2371.71,0.4,3.3,0.8,,1639.15,5205.6,0.8,6.8,0.1,,2834.17,0.41,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
2452.61,0.42,0.3,0.18,0.0000000007,1473.9,5370.8,0.9,7.9,0.3,,2918.3,0.5,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
2476.91,0.42,0.4,0.3,,1424.3,5420.4,0.9,7.8,0.4,,2934,0.5,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
2644.95,0.4,14,3,0.0000000032,1081.38,5763.3,0.8,6.4,0.1,,3117.71,0.44,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
2942.73,0.4,1.4,0.4,,474.45,6370.3,0.8,7.6,0.2,,3419.04,0.45,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17
3175.74,0.4,25,,1068.6,0.0,6844.7,0.8,6.4,,,3667.16,0.43,18,27,Ar,,0,,5/2- 7/2-,21.48,,15,s,21.48,0.15,B-,100,,6844.8,7,19,26,K,30-Oct-2007,T. W. BURROWS,2025-10-17

