mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,3430.8,0.0,5262,3,,,2NU,,,20,29,Ca,,0,,3/2-,8.718,,6,m,523.08,0.36,B-,100,,5262.4,23,21,28,Sc,14-Jul-2008,T. W. Burrows{+a},2025-10-17
174.7,1.2,0.281,0.006,,4738.45,524,3,5.18,0.02,A,349.4,1.9,20,29,Ca,,0,,3/2-,8.718,,6,m,523.08,0.36,B-,100,,5262.4,23,21,28,Sc,14-Jul-2008,T. W. Burrows{+a},2025-10-17
183.9,1.2,0.036,0.009,,4714.8,547,3,6.14,0.11,,363.7,2.2,20,29,Ca,,0,,3/2-,8.718,,6,m,523.08,0.36,B-,100,,5262.4,23,21,28,Sc,14-Jul-2008,T. W. Burrows{+a},2025-10-17
272.9,1.2,0.649,0.013,,4493.44,769,3,5.42,0.01,A,496.8,1.7,20,29,Ca,,0,,3/2-,8.718,,6,m,523.08,0.36,B-,100,,5262.4,23,21,28,Sc,14-Jul-2008,T. W. Burrows{+a},2025-10-17
340.5,1.3,0.0061,0.0016,,4332.2,930,3,7.76,0.12,A,590.6,1.8,20,29,Ca,,0,,3/2-,8.718,,6,m,523.08,0.36,B-,100,,5262.4,23,21,28,Sc,14-Jul-2008,T. W. Burrows{+a},2025-10-17
453.4,1.3,8.198,0.025,,4072.07,1190,3,5.05,0.01,A,737.8,1.9,20,29,Ca,,0,,3/2-,8.718,,6,m,523.08,0.36,B-,100,,5262.4,23,21,28,Sc,14-Jul-2008,T. W. Burrows{+a},2025-10-17
704.5,1.4,0.142,0.009,,3516.7,1745,3,7.48,0.03,A,1041.3,2.2,20,29,Ca,,0,,3/2-,8.718,,6,m,523.08,0.36,B-,100,,5262.4,23,21,28,Sc,14-Jul-2008,T. W. Burrows{+a},2025-10-17
905.8,1.4,90.2,0.05,,3084.52,2178,3,5.08,0.003,A,1272.2,2,20,29,Ca,,0,,3/2-,8.718,,6,m,523.08,0.36,B-,100,,5262.4,23,21,28,Sc,14-Jul-2008,T. W. Burrows{+a},2025-10-17
1244.3,1.4,0.47,0.02,,2371.9,2890,3,7.89,0.02,1NU,1646.3,1.9,20,29,Ca,,0,,3/2-,8.718,,6,m,523.08,0.36,B-,100,,5262.4,23,21,28,Sc,14-Jul-2008,T. W. Burrows{+a},2025-10-17
1313,1.4,0.018,0.021,,2228.6,3033,3,9.4,0.5,1NU,1721.1,1.8,20,29,Ca,,0,,3/2-,8.718,,6,m,523.08,0.36,B-,100,,5262.4,23,21,28,Sc,14-Jul-2008,T. W. Burrows{+a},2025-10-17

