mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
316,63,0.05,0.01,,10.10E+3,400,130,4.1,0.4,,550,90,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
544,59,0.1,0.02,,9.58E+3,910,110,4.6,0.2,,850,70,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
680,57,0.1,0.02,,9.28E+3,1230,100,4.9,0.2,,1010,60,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
763,33,0.2,0,,9.10E+3,1870,70,4.8,,,1108,37,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
965,54,0.3,0.06,,8.67E+3,1830,90,5,0.2,,1340,60,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
1098,51,1,0.2,,8.39E+3,2110,80,4.7,0.1,,1480,60,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
1217,48,0.5,0.1,,8.14E+3,2360,70,5.2,0.1,,1610,50,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
1380,48,0.3,0.2,,7.80E+3,2720,70,5.6,0.3,,1790,50,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
1481,45,0.3,0.1,,7.59E+3,2930,60,5.8,0.2,,1899,47,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
1564,42,1.4,0.4,,7.42E+3,3100,50,5.2,0.1,,1988,46,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
1631,42,2.5,0.6,,7.28E+3,3690,86,5,0.1,,2059,47,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
1738,40,9.2,1.8,,7.06E+3,3910,81,4.65,0.01,A,2173,41,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
1816,37,1.4,0.4,,6.90E+3,3610,30,5.4,0.2,A,2254,41,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
1918,37,14.3,2.8,,6.69E+3,4280,76,4.5,0.1,A,2363,41,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
1986,38,17.6,2.1,,6.55E+3,4420,76,4.5,0.1,,2434,41,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
2074,38,2.1,0.4,,6.37E+3,4600,76,5.5,0.1,A,2527,42,19,30,K,,0,,(1/2+ 3/2+),1.26,,5,s,1.26,0.05,B-,100,,11688.5,8,20,29,Ca,14-Jul-2008,T. W. Burrows{+a},2025-10-17
