mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
649.2,9.2,0.17,0.05,,4882.1,1622,20,5.67,0.13,,977,11,21,30,Sc,,0,,(7/2)-,12.4,,1,s,12.4,0.1,B-,100,,6482.6,26,22,29,Ti,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
973.1,9.5,0.33,0.05,,4186.6,2317,20,6.03,0.07,,1348,11,21,30,Sc,,0,,(7/2)-,12.4,,1,s,12.4,0.1,B-,100,,6482.6,26,22,29,Ti,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
1016.4,9.5,0.4,0.08,,4095.0,2409,20,6.01,0.09,,1396,11,21,30,Sc,,0,,(7/2)-,12.4,,1,s,12.4,0.1,B-,100,,6482.6,26,22,29,Ti,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
1243.3,9.6,13,0.4,,3618.6,2885,20,4.838,0.019,,1646,10,21,30,Sc,,0,,(7/2)-,12.4,,1,s,12.4,0.1,B-,100,,6482.6,26,22,29,Ti,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
1426.4,9.7,0.3,0.06,,3237.4,3267,20,6.71,0.09,,1844,10,21,30,Sc,,0,,(7/2)-,12.4,,1,s,12.4,0.1,B-,100,,6482.6,26,22,29,Ti,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
1510.8,9.7,13.1,0.4,,3062.3,3442,20,5.17,0.018,,1935,11,21,30,Sc,,0,,(7/2)-,12.4,,1,s,12.4,0.1,B-,100,,6482.6,26,22,29,Ti,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
1579.9,9.7,3.84,0.16,,2919.3,3585,20,5.781,0.022,,2009,10,21,30,Sc,,0,,(7/2)-,12.4,,1,s,12.4,0.1,B-,100,,6482.6,26,22,29,Ti,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
1671,9.7,4.6,0.4,,2731.2,3773,20,5.8,0.04,,2106,10,21,30,Sc,,0,,(7/2)-,12.4,,1,s,12.4,0.1,B-,100,,6482.6,26,22,29,Ti,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
1690.3,9.7,2.03,0.18,,2691.4,3813,20,6.18,0.04,A,2126,10,21,30,Sc,,0,,(7/2)-,12.4,,1,s,12.4,0.1,B-,100,,6482.6,26,22,29,Ti,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
1956.2,9.8,34,1.1,,2144.0,4360,20,5.214,0.017,A,2407,11,21,30,Sc,,0,,(7/2)-,12.4,,1,s,12.4,0.1,B-,100,,6482.6,26,22,29,Ti,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
2300.8,9.8,27.5,0.6,,1437.3,5067,20,5.601,0.013,A,2769,11,21,30,Sc,,0,,(7/2)-,12.4,,1,s,12.4,0.1,B-,100,,6482.6,26,22,29,Ti,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17

