mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
862,47,1,0.3,,2930.5,2089,100,5.78,0.16,A,1230,50,22,31,Ti,,0,,(3/2)-,32.7,,9,s,32.7,0.9,B-,100,,4970,4,23,30,V,31-Mar-2007,HUO JUNDE,2025-10-17
909,47,11.1,1.1,,2829.5,2217,99,4.83,0.1,A,1280,50,22,31,Ti,,0,,(3/2)-,32.7,,9,s,32.7,0.9,B-,100,,4970,4,23,30,V,31-Mar-2007,HUO JUNDE,2025-10-17
1025,48,15,1.4,,2584.0,2423,65,4.89,0.09,A,1410,50,22,31,Ti,,0,,(3/2)-,32.7,,9,s,32.7,0.9,B-,100,,4970,4,23,30,V,31-Mar-2007,HUO JUNDE,2025-10-17
1041,48,4.5,1.3,,2550.6,2469,100,5.44,0.15,A,1430,50,22,31,Ti,,0,,(3/2)-,32.7,,9,s,32.7,0.9,B-,100,,4970,4,23,30,V,31-Mar-2007,HUO JUNDE,2025-10-17
1263,48,6.7,0.7,,2084.0,2936,100,5.59,0.08,A,1680,50,22,31,Ti,,0,,(3/2)-,32.7,,9,s,32.7,0.9,B-,100,,4970,4,23,30,V,31-Mar-2007,HUO JUNDE,2025-10-17
1324,48,4.8,0.7,,1957.6,3062,100,5.81,0.09,A,1740,50,22,31,Ti,,0,,(3/2)-,32.7,,9,s,32.7,0.9,B-,100,,4970,4,23,30,V,31-Mar-2007,HUO JUNDE,2025-10-17
1349,48,37,3,,1904.01,3127,71,4.96,0.08,A,1770,50,22,31,Ti,,0,,(3/2)-,32.7,,9,s,32.7,0.9,B-,100,,4970,4,23,30,V,31-Mar-2007,HUO JUNDE,2025-10-17
1520,49,10,3,,1549.6,3470,100,5.73,0.15,A,1950,50,22,31,Ti,,0,,(3/2)-,32.7,,9,s,32.7,0.9,B-,100,,4970,4,23,30,V,31-Mar-2007,HUO JUNDE,2025-10-17
2162,49,11,4,,228.41,4792,100,6.32,0.17,A,2630,50,22,31,Ti,,0,,(3/2)-,32.7,,9,s,32.7,0.9,B-,100,,4970,4,23,30,V,31-Mar-2007,HUO JUNDE,2025-10-17
2211,49,6,,,127.60,4892,100,6.6,,A,2680,50,22,31,Ti,,0,,(3/2)-,32.7,,9,s,32.7,0.9,B-,100,,4970,4,23,30,V,31-Mar-2007,HUO JUNDE,2025-10-17

