mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
3060.1,1.9,5.1,1.1,,4050.7,6646,4,5.7,,,,,25,37,Mn,Y,0,,(4+),671,,5,ms,0.671,0.005,B-,100,,10354,7,26,36,Fe,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2025-10-17
3224.7,2,1.2,0.6,,3713.7,6983,4,6.4,,,,,25,37,Mn,Y,0,,(4+),671,,5,ms,0.671,0.005,B-,100,,10354,7,26,36,Fe,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2025-10-17
3250.1,2,0.9,0.4,,3661.7,7035,4,6.5,,,,,25,37,Mn,Y,0,,(4+),671,,5,ms,0.671,0.005,B-,100,,10354,7,26,36,Fe,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2025-10-17
3263.9,1.9,46,2.4,,3633.48,7064,4,4.8,,A,,,25,37,Mn,Y,0,,(4+),671,,5,ms,0.671,0.005,B-,100,,10354,7,26,36,Fe,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2025-10-17
3397.4,2,1.2,0.6,,3360.3,7337,4,6.5,,,,,25,37,Mn,Y,0,,(4+),671,,5,ms,0.671,0.005,B-,100,,10354,7,26,36,Fe,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2025-10-17
3422,1.9,0.7,0.3,,3310.0,7387,4,6.7,,1U,,,25,37,Mn,Y,0,,(4+),671,,5,ms,0.671,0.005,B-,100,,10354,7,26,36,Fe,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2025-10-17
3565.8,1.9,0.9,0.6,,3015.7,7681,4,6.7,,1NU,,,25,37,Mn,Y,0,,(4+),671,,5,ms,0.671,0.005,B-,100,,10354,7,26,36,Fe,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2025-10-17
3569.1,1.9,1.3,0.5,,3008.9,7688,4,6.5,,1NU,,,25,37,Mn,Y,0,,(4+),671,,5,ms,0.671,0.005,B-,100,,10354,7,26,36,Fe,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2025-10-17
3724.2,1.9,17,3,,2691.62,8005,4,5.5,,A,,,25,37,Mn,Y,0,,(4+),671,,5,ms,0.671,0.005,B-,100,,10354,7,26,36,Fe,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2025-10-17
3976,1.9,8.4,1.9,,2176.47,8521,4,5.9,,A,,,25,37,Mn,Y,0,,(4+),671,,5,ms,0.671,0.005,B-,100,,10354,7,26,36,Fe,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2025-10-17
4053.9,1.9,27,4,,2016.98,8680,4,5.5,,2NU,,,25,37,Mn,Y,0,,(4+),671,,5,ms,0.671,0.005,B-,100,,10354,7,26,36,Fe,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2025-10-17

