mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1166.8,9.6,0.09,0.00009,,4556.4,2751,20,5.4,0.054,,,,27,37,Co,,0,,1+,0.30,,3,s,0.3,0.03,B-,100,,7307,20,28,36,Ni,12-Nov-2021,Balraj Singh and Jun Chen,2025-10-17
1304.4,9.6,0.23,0.00023,,4268.12,3039,20,5.2,0.052,A,,,27,37,Co,,0,,1+,0.30,,3,s,0.3,0.03,B-,100,,7307,20,28,36,Ni,12-Nov-2021,Balraj Singh and Jun Chen,2025-10-17
1501.9,9.7,0.48,0.00048,,3856.54,3450,20,5.1,0.051,A,,,27,37,Co,,0,,1+,0.30,,3,s,0.3,0.03,B-,100,,7307,20,28,36,Ni,12-Nov-2021,Balraj Singh and Jun Chen,2025-10-17
1635.9,9.7,0.03,,,3578.55,3728,20,6.4,,A,,,27,37,Co,,0,,1+,0.30,,3,s,0.3,0.03,B-,100,,7307,20,28,36,Ni,12-Nov-2021,Balraj Singh and Jun Chen,2025-10-17
1782.1,9.7,0.19,0.00019,0.00000000000024,3275.99,4031,20,5.8,0.058,A,,,27,37,Co,,0,,1+,0.30,,3,s,0.3,0.03,B-,100,,7307,20,28,36,Ni,12-Nov-2021,Balraj Singh and Jun Chen,2025-10-17
1841.3,9.7,0.03,,,3153.73,4153,20,6.6,,A,,,27,37,Co,,0,,1+,0.30,,3,s,0.3,0.03,B-,100,,7307,20,28,36,Ni,12-Nov-2021,Balraj Singh and Jun Chen,2025-10-17
1903.2,9.7,0.23,0.00023,0.0000000000036,3025.89,4281,20,5.8,0.058,A,,,27,37,Co,,0,,1+,0.30,,3,s,0.3,0.03,B-,100,,7307,20,28,36,Ni,12-Nov-2021,Balraj Singh and Jun Chen,2025-10-17
1929.3,9.7,0.18,0.00018,0.00000000000013,2972.09,4335,20,5.9,0.059,,,,27,37,Co,,0,,1+,0.30,,3,s,0.3,0.03,B-,100,,7307,20,28,36,Ni,12-Nov-2021,Balraj Singh and Jun Chen,2025-10-17
1980.1,9.7,0.57,0.00057,0.0000000000014,2867.39,4440,20,5.5,0.055,A,,,27,37,Co,,0,,1+,0.30,,3,s,0.3,0.03,B-,100,,7307,20,28,36,Ni,12-Nov-2021,Balraj Singh and Jun Chen,2025-10-17
2267.1,9.8,2.9,0.029,,2276.58,5030,20,5,0.05,A,2763,11,27,37,Co,,0,,1+,0.30,,3,s,0.3,0.03,B-,100,,7307,20,28,36,Ni,12-Nov-2021,Balraj Singh and Jun Chen,2025-10-17
2720.4,9.8,3.2,0.032,0.000000000001086,1345.77,5961,20,5.3,0.053,A,3239,11,27,37,Co,,0,,1+,0.30,,3,s,0.3,0.03,B-,100,,7307,20,28,36,Ni,12-Nov-2021,Balraj Singh and Jun Chen,2025-10-17
3376.8,9.8,92,0.9,,0.0,7307,20,4.26,0.05,A,3926,11,27,37,Co,,0,,1+,0.30,,3,s,0.3,0.03,B-,100,,7307,20,28,36,Ni,12-Nov-2021,Balraj Singh and Jun Chen,2025-10-17

