mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2640,120,8,3,,2896.1,5796,240,5.4,0.2,,3150,120,26,39,Fe,,402,5,(9/2+),1.12,,15,s,1.12,0.15,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
2640,120,14,4,,2891.9,5800,240,5.1,0.2,,3150,120,26,39,Fe,,402,5,(9/2+),1.12,,15,s,1.12,0.15,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
2790,120,8,2,,2183.19,6107,240,5.38,0.14,,3310,120,26,39,Fe,,0,,(1/2-),0.81,,5,s,0.81,0.05,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
2810,120,18,5,,2557.6,6134,240,5.14,0.16,,3320,120,26,39,Fe,,402,5,(9/2+),1.12,,15,s,1.12,0.15,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
2850,120,16,4,,2478.9,6213,240,5.2,0.2,1NU,3360,120,26,39,Fe,,402,5,(9/2+),1.12,,15,s,1.12,0.15,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
2860,120,18,5,,2443.3,6249,240,5.2,0.2,,3380,120,26,39,Fe,,402,5,(9/2+),1.12,,15,s,1.12,0.15,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
2880,120,39,4,,1996.28,6294,240,4.75,0.1,A,3400,120,26,39,Fe,,0,,(1/2-),0.81,,5,s,0.81,0.05,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
2900,120,19,2,,1958.8,6331,240,5.08,0.1,,3420,120,26,39,Fe,,0,,(1/2-),0.81,,5,s,0.81,0.05,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
3250,120,7,3,,1642.17,7050,240,5.8,0.2,1NU,3790,120,26,39,Fe,,402,5,(9/2+),1.12,,15,s,1.12,0.15,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
3260,120,4.2,1.5,,1625.5,7066,240,6.1,0.2,,3800,120,26,39,Fe,,402,5,(9/2+),1.12,,15,s,1.12,0.15,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
3260,120,22,4,,1222.62,7067,240,5.24,0.11,A,3800,120,26,39,Fe,,0,,(1/2-),0.81,,5,s,0.81,0.05,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
3320,120,3,,,1094.99,7195,240,6.1,,A,3870,120,26,39,Fe,,0,,(1/2-),0.81,,5,s,0.81,0.05,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
3330,120,5,3,,1479.41,7213,240,6,0.3,1NU,3870,120,26,39,Fe,,402,5,(9/2+),1.12,,15,s,1.12,0.15,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
3350,120,5,2,,1441.1,7251,240,6.1,0.2,,3890,120,26,39,Fe,,402,5,(9/2+),1.12,,15,s,1.12,0.15,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
3430,120,11,2,,882.54,7407,240,5.63,0.11,A,3980,120,26,39,Fe,,0,,(1/2-),0.81,,5,s,0.81,0.05,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
4060,120,16,,,0.0,8692,240,5.9,,1NU,4630,120,26,39,Fe,,402,5,(9/2+),1.12,,15,s,1.12,0.15,B-,100,,7967,6,27,38,Co,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17

