mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
340.6,1.2,1,0.3,,3490.3,949,3,4.5,0.13,,610.2,2.2,29,39,Cu,,0,,1+,30.9,,6,s,30.9,0.6,B-,100,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
444,1.6,1.4,0.6,,3971,1190,3,5.59,0.19,,747.3,2.5,29,39,Cu,,721.26,0.08,6-,3.75,,5,m,225,3,B-,14,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
471.61,0.96,2.4,0.5,,3186.7,1253.1,2.2,4.58,0.09,,782,2,29,39,Cu,,0,,1+,30.9,,6,s,30.9,0.6,B-,100,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
549.3,1.6,0.9,0.4,,3733,1428,3,6.1,0.2,,878.8,3.2,29,39,Cu,,721.26,0.08,6-,3.75,,5,m,225,3,B-,14,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
552.7,1.3,0.38,0.13,,3725.3,1436,3,6.48,0.15,,884.4,1.6,29,39,Cu,,721.26,0.08,6-,3.75,,5,m,225,3,B-,14,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
604.3,1.2,6.3,1.7,,3610.8,1550,3,5.39,0.12,A,947.4,1.8,29,39,Cu,,721.26,0.08,6-,3.75,,5,m,225,3,B-,14,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
635.2,1.1,1.7,0.4,,2821.4,1618.4,2.4,5.18,0.11,A,984.3,2,29,39,Cu,,0,,1+,30.9,,6,s,30.9,0.6,B-,100,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
666.1,1.1,0.5,,,2753.4,1686.4,2.4,5.8,,1U,1002.8,2.1,29,39,Cu,,0,,1+,30.9,,6,s,30.9,0.6,B-,100,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
673.2,1.1,4,3,,3459.2,1701.8,2.3,5.8,0.4,A,1030.2,1.4,29,39,Cu,,721.26,0.08,6-,3.75,,5,m,225,3,B-,14,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
777.8,1.2,0.3,0.3,,2510.5,1929.3,2.4,6.2,0.5,,1152.4,1.9,29,39,Cu,,0,,1+,30.9,,6,s,30.9,0.6,B-,100,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
842.7,1.2,0.35,0.17,,2370.6,2069.2,2.4,6.3,0.22,,1227.9,1.3,29,39,Cu,,0,,1+,30.9,,6,s,30.9,0.6,B-,100,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
857.23,0.92,16,1.2,,2339.5,2100.3,2,4.67,0.04,A,1244.5,1.3,29,39,Cu,,0,,1+,30.9,,6,s,30.9,0.6,B-,100,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
1071.12,0.96,2.7,1.1,,1884.3,2555.5,2,5.8,0.18,A,1484.9,1.4,29,39,Cu,,0,,1+,30.9,,6,s,30.9,0.6,B-,100,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
1160,1,2.5,2.3,,2418.2,2742.8,2.1,6.8,0.4,1U,1574.9,1.1,29,39,Cu,,721.26,0.08,6-,3.75,,5,m,225,3,B-,14,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
1179.47,0.98,1.2,0.7,,1655.9,2783.9,2.1,6.3,0.3,A,1604.8,1.5,29,39,Cu,,0,,1+,30.9,,6,s,30.9,0.6,B-,100,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
1455.84,0.9,38,4,,1077.7,3362.1,1.9,5.16,0.05,A,1906.7,1.2,29,39,Cu,,0,,1+,30.9,,6,s,30.9,0.6,B-,100,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17
1975.89,0.88,33,4,,0,4439.8,1.8,5.76,0.06,A,2462.8,1.1,29,39,Cu,,0,,1+,30.9,,6,s,30.9,0.6,B-,100,,4440.1,18,30,38,Zn,1-Mar-2012,E.A. McCutchan,2025-10-17

