mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
226.7,1.6,1.37,0.06,,4698.30,675,4,5.05,0.02,,448.3,2.4,31,43,Ga,,0,,(3-),8.12,,12,m,487.2,7.2,B-,100,,5372.8,30,32,42,Ge,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
261.4,1.7,0.46,0.05,,4611.60,761,4,5.71,0.05,,501,2.4,31,43,Ga,,0,,(3-),8.12,,12,m,487.2,7.2,B-,100,,5372.8,30,32,42,Ge,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
316.4,1.7,5.97,0.16,,4477.62,895,4,4.86,0.02,,579.7,2.3,31,43,Ga,,0,,(3-),8.12,,12,m,487.2,7.2,B-,100,,5372.8,30,32,42,Ge,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
362.7,1.8,0.14,0.03,,4367.3,1006,4,6.68,0.1,,620.6,3.4,31,43,Ga,,0,,(3-),8.12,,12,m,487.2,7.2,B-,100,,5372.8,30,32,42,Ge,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
419.3,1.8,0.35,0.04,,4235.33,1138,4,6.49,0.05,,718.7,3.2,31,43,Ga,,0,,(3-),8.12,,12,m,487.2,7.2,B-,100,,5372.8,30,32,42,Ge,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
424.7,1.8,0.1,0.02,,4222.9,1150,4,7.05,0.09,,725.9,3,31,43,Ga,,0,,(3-),8.12,,12,m,487.2,7.2,B-,100,,5372.8,30,32,42,Ge,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
434,1.8,1.62,0.11,,4201.39,1172,4,5.87,0.03,1NU,738.8,3.2,31,43,Ga,,0,,(3-),8.12,,12,m,487.2,7.2,B-,100,,5372.8,30,32,42,Ge,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
524.8,1.8,0.49,0.05,,3995.10,1378,4,6.67,0.05,,854.6,2.9,31,43,Ga,,0,,(3-),8.12,,12,m,487.2,7.2,B-,100,,5372.8,30,32,42,Ge,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
533.1,1.8,2.34,0.1,,3976.28,1397,4,6.01,0.02,,863.9,3.3,31,43,Ga,,0,,(3-),8.12,,12,m,487.2,7.2,B-,100,,5372.8,30,32,42,Ge,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
544.9,1.8,1.71,0.11,,3949.80,1423,4,6.18,0.03,,879.4,2.5,31,43,Ga,,0,,(3-),8.12,,12,m,487.2,7.2,B-,100,,5372.8,30,32,42,Ge,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
