mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,26,16,,5958+X,6104.956476181537,0,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
3760,250,2.6,,,3954,8108.9,2,5.8,,,4339.3,1,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
4030,250,4,,,3412,8650.9,2,5.7,,,4615.8,1,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
4270,250,3.5,,,2909,9153.9,2,5.9,,,4871.7,1.1,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
4290,250,2.4,,,2869,9193.9,2,6,,,4892.9,1,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
4370,250,2.2,,,2695,9367.9,2,6.1,,1NU,4981.7,1,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
4420,250,2,,,2605,9457.9,2,6.2,,,5026.8,1.1,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
4680,250,4.7,,,2068,9994.9,1,5.9,,1NU,5301.6,0.5,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
4730,250,8.3,,,1955,10107.9,1,5.7,,1NU,5359.3,0.5,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
4830,250,1.7,,,1776,10286.9,1,8.8,,1U,5447.8,0.5,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
5120,250,8.3,,,1154,10908.9,1,5.9,,1NU,5767.3,0.5,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
5220,250,23.3,,,946,11116.9,1,5.4,,1NU,5874.2,0.5,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
5420,260,,,,293,11769.9,1,,,3NU,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17
5700,250,10,,0.4698,0,12062.914000356737,0,8.5,,1U,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-10-17

