mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
918,19,0.92,0.07,,1869.42,2241,40,5.86,0.05,,1324,21,32,47,Ge,,0,,(1/2)-,18.98,,3,s,18.98,0.03,B-,100,,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
961,19,10.3,0.8,,1964.76,2331,40,5.19,0.05,A,,,32,47,Ge,,185.95,0.04,(7/2+),39.0,,10,s,39,1,B-,96,1,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
996,19,30,2,,1890.31,2406,40,4.79,0.05,,,,32,47,Ge,,185.95,0.04,(7/2+),39.0,,10,s,39,1,B-,96,1,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1089,19,12.1,0.8,,1505.90,2604,40,5.01,0.04,A,1515,22,32,47,Ge,,0,,(1/2)-,18.98,,3,s,18.98,0.03,B-,100,,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1097,19,0.332,0.022,,1490.26,2620,40,6.59,0.04,,1524,22,32,47,Ge,,0,,(1/2)-,18.98,,3,s,18.98,0.03,B-,100,,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1134,19,1.29,0.08,,1412.00,2698,40,6.05,0.04,,1564,22,32,47,Ge,,0,,(1/2)-,18.98,,3,s,18.98,0.03,B-,100,,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1172,19,2.2,0.6,,1517.81,2778,40,6.2,0.1,,,,32,47,Ge,,185.95,0.04,(7/2+),39.0,,10,s,39,1,B-,96,1,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1182,19,6.3,0.6,,1496.82,2799,40,5.75,0.05,,,,32,47,Ge,,185.95,0.04,(7/2+),39.0,,10,s,39,1,B-,96,1,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1185,19,2.8,0.2,,1490.12,2806,40,6.1,0.05,,,,32,47,Ge,,185.95,0.04,(7/2+),39.0,,10,s,39,1,B-,96,1,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1413,20,9.7,1.2,,1011.96,3284,40,5.86,0.06,A,,,32,47,Ge,,185.95,0.04,(7/2+),39.0,,10,s,39,1,B-,96,1,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1478,20,1.897,0.02,,875.13,3421,40,6.6,,,,,32,47,Ge,,185.95,0.04,(7/2+),39.0,,10,s,39,1,B-,96,1,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1519,20,2.65,0.18,,603.69,3506,40,6.23,0.04,,1987,22,32,47,Ge,,0,,(1/2)-,18.98,,3,s,18.98,0.03,B-,100,,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1528,20,10.1,2.1,0.00000121,772.74,3523,40,6,0.1,A,,,32,47,Ge,,185.95,0.04,(7/2+),39.0,,10,s,39,1,B-,96,1,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1594,20,7.8,0.8,,634.01,3662,40,6.16,0.05,,,,32,47,Ge,,185.95,0.04,(7/2+),39.0,,10,s,39,1,B-,96,1,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1757,20,22.4,1.4,,109.51,4000,40,5.56,0.04,A,2243,21,32,47,Ge,,0,,(1/2)-,18.98,,3,s,18.98,0.03,B-,100,,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1761,20,0.78,0.2,,100.46,4010,40,7,0.1,A,2249,22,32,47,Ge,,0,,(1/2)-,18.98,,3,s,18.98,0.03,B-,100,,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1788,20,12,2.4,,230.46,4065,40,6.2,0.1,1NU,,,32,47,Ge,,185.95,0.04,(7/2+),39.0,,10,s,39,1,B-,96,1,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1810,20,60,3,,0.0,4110,40,5.18,0.03,A,2300,22,32,47,Ge,,0,,(1/2)-,18.98,,3,s,18.98,0.03,B-,100,,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1848,20,0.998,0.01,,109.60,4186,40,9,,1U,,,32,47,Ge,,185.95,0.04,(7/2+),39.0,,10,s,39,1,B-,96,1,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17
1901,20,8.99,0.09,,0.0,4296,40,8.1,,1U,,,32,47,Ge,,185.95,0.04,(7/2+),39.0,,10,s,39,1,B-,96,1,4110,40,33,46,As,31-May-2016,BALRAJ SINGH,2025-10-17

