mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1392.6,2,15,5,,4243.60,3245,4,5.35,0.15,A,1853.7,2.1,33,49,As,,0,,(2-),19.1,,5,s,19.1,0.5,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
1530,2,7.4,1,,4088.0,3533,4,5.67,0.06,,,,33,49,As,,131.6,0.5,(5-),13.6,,4,s,13.6,0.4,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
1668.7,2,4.6,1.6,,3667.5,3821,4,6.17,0.16,,2153.1,2.1,33,49,As,,0,,(2-),19.1,,5,s,19.1,0.5,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
1835.7,2,14.4,1.8,,3452.3,4168,4,5.7,0.06,A,,,33,49,As,,131.6,0.5,(5-),13.6,,4,s,13.6,0.4,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
1986.7,2,3.7,1.3,,3007.7,4481,4,6.57,0.16,A,2494.2,2.3,33,49,As,,0,,(2-),19.1,,5,s,19.1,0.5,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
2106.2,2,54,7,,2891.78,4729,4,5.37,0.06,A,,,33,49,As,,131.6,0.5,(5-),13.6,,4,s,13.6,0.4,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
2171.1,2,5.6,1.9,,2623.8,4865,4,8.34,0.15,1U,2695.8,2.4,33,49,As,,0,,(2-),19.1,,5,s,19.1,0.5,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
2272.3,2,20,5,,2548.40,5072,4,5.93,0.11,,,,33,49,As,,131.6,0.5,(5-),13.6,,4,s,13.6,0.4,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
2600.7,2,8,3,,1733.7,5755,4,8.65,0.17,1U,3155.3,2.1,33,49,As,,0,,(2-),19.1,,5,s,19.1,0.5,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
2604.8,2,16,6,,1730.08,5759,4,6.43,0.17,1NU,3150.6,2.3,33,49,As,,0,,(2-),19.1,,5,s,19.1,0.5,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
2666.7,2,5,5,,1733.85,5887,4,6.8,0.5,1NU,,,33,49,As,,131.6,0.5,(5-),13.6,,4,s,13.6,0.4,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
2668.6,2,3,,,1730.03,5891,4,7.1,,3NU,,,33,49,As,,131.6,0.5,(5-),13.6,,4,s,13.6,0.4,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
2757.9,2,1.5,0.9,,1408.96,6080,4,9.5,0.3,1U,3322.3,2.4,33,49,As,,0,,(2-),19.1,,5,s,19.1,0.5,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
3126.3,2,21,8,,654.34,6835,4,6.65,0.17,1NU,3703.8,2.1,33,49,As,,0,,(2-),19.1,,5,s,19.1,0.5,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
3441.6,2,25,25,,0.0,7489,4,8.9,0.5,1U,4045,2.2,33,49,As,,0,,(2-),19.1,,5,s,19.1,0.5,B-,100,,7488,4,34,48,Se,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17

